respondent_id,collector_id,date_created,date_modified,ip_address,email_address,first_name,last_name,custom_1,"Autorizo a United Way Colombia a realizar toma de fotografías, videos o entrevistas en las que aparezco y cedo el uso de mi imagen y registros de las actividades en las cuales participé, para los fines contemplado en la Política de Privacidad para el Tratamiento de Datos Personales de dicha entidad, en la cual se incluyen, entre otras, la realización de piezas de comunicación interna y externa. Como titular de los datos podré, en cualquier momento, solicitar que la información sea modificada, actualizada o retirada de las bases de datos de United Way Colombia. Lo invitamos a conocer los detalles en: https://bit.ly/2O4diuQ",DEPARTAMENTO,NOMBRE DEL CENTRO EDUCATIVO,"Responde a una de estas tres opciones, la que prefieras responder:Cuéntanos una situación que haya sucedido en tu institución educativa que te haya hecho pensar sobre tu futuro.Cuéntanos una situación que haya sucedido en tu institución educativa que te haya impactado particularmente.Cuéntanos una situación que haya sucedido en tu institución educativa que te haya hecho pensar cómo quieres que termine tu año escolar.Describe la situación, y lo que pasó.Comparte tu experiencia / tu ejemplo aquí:",¿Cuéntanos que opción elegiste?,La historia que contaste te genera.,La experiencia que compartiste es,Cuando sucedió,Por cuanto tiempo,¿Qué tan común?,¿Quién debe saber esta historia?  ,¿En cuantos colegios has estado?,Temas,Tu historia describe algo: ,Sentí que tuve,La historia involucra,Esta historia me enseñó,Esta historia me enseñó,La lección impacto en,Es importante,¿Cuál es tu genero? 
#¿NOMBRE?,401495591,2021-05-10 18:15:07,2021-05-10 18:17:38,181.51.121.236,,,,,Sí,ANTIOQUIA,Escuela Normal Superor de Antioquia,cuando atropellaron a una de mis maestras favoritas,1,Tristeza,Experiencia personal,Hace dos años,Por mucho tiempo,Pasa una vez cada tanto,Los profesores y las directivas,En 3,Relación con los compañeros,Pasa frecuentemente,Poco control,Profesores,Comprender la realidad de las cosas,Comprender la realidad de las cosas,Entender lo que sucede a tu alrededor,Comprender a los otros,Mujer
12644641079,401495591,2021-05-10 10:58:30,2021-05-10 11:08:54,179.15.192.24,,,,,Sí,ANTIOQUIA,Escuela Normal Superor de Antioquia,"La situación que me hizo pensar en mi futuro fue cuando las universidades fueron a presentarse y a mostrar su metodología en la institución. Fue muy  emocionante y  a la vez preocupante, puesto que, ya en algunos meses terminaré el colegio y entraré a alguna universidad. No puedo creer que haya pasado mucho tiempo. ",1,Motivación,Experiencia personal,Hace algunos días o semanas,Por mucho tiempo,Muy rara y única,Nadie,En 2,Innovación y creatividad,Novedoso,Total control,A mi,Importancia de experimentar,Comprender la realidad de las cosas,Oportunidades futuras,Comprender a los otros,Mujer
12644636686,401495591,2021-05-10 10:50:44,2021-05-10 11:07:41,190.70.34.15,,,,,Sí,ANTIOQUIA,Escuela Normal Superor de Antioquia,"Situación que me hizo pensar sobre mi futuro: Mi maestra actual de ingles al ver que era una persona tan activa, participativa y emocionada por su clase (teniendo en cuenta que soy una persona muy tímida) me sugirió el emprender la carrera de idiomas en la universidad, esta sugerencia me hizo reflexionar frente a mi decisión, la cual sera esta misma.    Situación que me haya impactado particularmente: durante el curso del año 2018, conoci a alguien quien me hizo cambiar a gran escala, mas bien se podría decir que empece a generar sentimientos por esta persona quien infirió y genero cambios erróneos en mi vida estudiantil y privada, hasta hoy esta situación ha sido la que mas me ha marcado.     Situación que me hizo pensar como quiero que termine mi año escolar: durante el año 2020 pase por diversas complicaciones en las cuales me vi afectada con mi circulo social, haciendo que creara desconfianza y rechazo hacia ciertas personas, me siento bastante sola y abrumada al saber que mis amigos son casi nulos. Espero poder graduarme de la mejor manera y que todo se desarrolle para bien.",3,Impotencia,Experiencia personal,Hace más de dos años,Por mucho tiempo,Muy rara y única,Nadie,En 2,Relación con los compañeros,Novedoso,Absolutamente ningún control,Amigos,Comprender la realidad de las cosas,Comprender la realidad de las cosas,Relación con los demás,Comprender a los otros,Mujer
12644629743,401495591,2021-05-10 10:49:27,2021-05-10 11:05:39,201.233.90.80,,,,,Sí,ANTIOQUIA,Escuela Normal Superor de Antioquia,"Fueron una de las mejores promociones que tuvo la institución porque siempre resaltaban en todo, en los bailes, las notas, el comportamiento y los actos que hacían.",3,Motivación,Una opinión,Hace más de dos años,Por mucho tiempo,Pasa una vez cada tanto,Todo el mundo,Solo en este,Educación y aprendizaje,Novedoso,Control,Otros,Otros,Otros,Relación con los demás,Trabajar en equipo,Mujer
12644625511,401495591,2021-05-10 10:49:29,2021-05-10 11:04:25,179.15.199.232,,,,,No,ANTIOQUIA,Escuela Normal Superor de Antioquia,"la situación que sucedido en mi institución educativa que me ha hecho pensar cómo quieres que termine mi año escolar fue el regreso a clase ya que esto me motivo y me agrado mucho ya que pude volver a compartir con mis compañeras de clase creando momentos únicos en ese poco tiempo ya que lastimosamente regresamos a la modalidad virtual, por este motivo pienso en un fin de año juntas y sin barreras.",2,Motivación,Experiencia personal,Hace algunos días o semanas,Por algún tiempo,Común,Los compañeros,En más de 4,Relación con los compañeros,Pasa frecuentemente,Total control,Amigos,Importancia de experimentar,Comprender la realidad de las cosas,Relación con los demás,Trabajar en equipo,Mujer
12644620109,401495591,2021-05-10 10:49:34,2021-05-10 11:02:51,201.233.106.62,,,,,Sí,ANTIOQUIA,Escuela Normal Superor de Antioquia,"Era el día final del curso, entrega de calificaciones, y una maestra va informándome en broma ""Has reprobado mi asignatura"", yo como buen estudiante me preocupe y le cuestioné el porque, y me respondió sin ningún sentimiento o empatía en su mirada, ""porque eres gorda"". Yo solo le respondí que estaba bien, y que le daba las gracias por haberme dejado participar de su clase.  ",1,Motivación,Experiencia personal,Hace dos años,Por siempre,Común,Nadie,Solo en este,Valores,Pasa todo el tiempo,Absolutamente ningún control,A mi,Otros,Importancia de experimentar,Relación con los demás,Comprender a los otros,No binario
12644617282,401495591,2021-05-10 10:49:29,2021-05-10 11:01:59,201.185.164.4,,,,,Sí,ANTIOQUIA,Escuela Normal Superor de Antioquia,"Mi institucion ha implementado diversos talleres de vocacionalidad o con psicologos y enfermeras que proporcionan servicios en la alcaldia respecto a temas comunes de la sociedad, estos me han permitido tener una vision mas clara de lo que viene despues del colegio, (universidad, trabajo, vida en pareja, entre otros) ",1,Tranquilidad,Una opinión,Hace algunos días o semanas,Por siempre,Pasa una vez cada tanto,Nadie,Solo en este,Ninguna de los anteriores,Novedoso,Control,A mi,Comprender la realidad de las cosas,Otros,Entender lo que sucede a tu alrededor,Trabajar en equipo,Mujer
12644616676,401495591,2021-05-10 10:55:30,2021-05-10 11:01:49,181.58.38.17,,,,,Sí,ANTIOQUIA,Escuela Normal Superor de Antioquia,"Con respecto a la última pregunta, todo lo que está sucediendo actualmente en cuanto al COVID, pues ya hice un año desde la educación en casa y no fue mucho de mi agrado, tuve la oportunidad de volver a mi colegio de manera presencial y sentí que aprendía mejor y estaba rodeada de gente que quiero, pero tuve que volver a estudiar desde casa, esto me hizo pensar en cómo terminaré mi último año escolar y a decir verdad me encantaría que fuera de manera presencial para aprovechar los últimos meses en mi colegio.",3,Impotencia,Experiencia personal,Hace algunos días o semanas,Por algún tiempo,Muy rara y única,Nadie,En 2,La seguridad en el colegio,Novedoso,Poco control,Amigos,Comprender la realidad de las cosas,Importancia de experimentar,Entender lo que sucede a tu alrededor,Comprender a los otros,Mujer
12644616475,401495591,2021-05-10 10:53:28,2021-05-10 11:01:46,177.254.179.214,,,,,Sí,ANTIOQUIA,Escuela Normal Superor de Antioquia,"Desde el año pasado estamos en pandemia, una situación bastante fea y eso  me llevo a pensar que ahora que estoy en once y es mi ultimo año en la institución, quiero terminarlo presencial y disfrutar de los últimos momentos con mis compañeras.",3,Motivación,Experiencia personal,Hace un año,Por mucho tiempo,Muy rara y única,Todo el mundo,En 2,Relación con los compañeros,Novedoso,Poco control,Amigos,Importancia de experimentar,Importancia de experimentar,Relación con los demás,Comprender a los otros,Mujer
12644614298,401495591,2021-05-10 10:56:22,2021-05-10 11:01:06,201.233.103.22,,,,,Sí,ANTIOQUIA,Escuela Normal Superor de Antioquia,"Pregunta #1 En el transcurso del año hemos tenido una feria universitaria en la que pensé seriamente como quiero construir mi futuro, al conocer diferentes universidades y las carreras que estas ofrecen, comencé a dudar en si el mercadeo era mi carrera ideal o tal vez debería enfocarme en ser auxiliar de vuelo. ",1,Motivación,Experiencia personal,Hace algunos días o semanas,Por algún tiempo,Pasa todo el tiempo,Los profesores y las directivas,Solo en este,Educación y aprendizaje,Pasa todo el tiempo,Poco control,A mi,Otros,Otros,Oportunidades futuras,Ser el mejor,Mujer
12644614072,401495591,2021-05-10 10:50:53,2021-05-10 11:01:02,179.15.199.232,,,,,Sí,BOGOTÁ,Escuela Normal Superor de Antioquia,"Una situación que me ha hecho pensar sobre mi futuro, es cuando algunas veces al colegio llevan personas para que nos den su testimonio y nos cuenten un poco sobre que han hecho para llegar a donde están, es una situación que particularmente me hace sentir y pensar que debo seguir su ejemplo para llegar a construir un buen camino ( un buen futuro) para mi.",1,Motivación,Experiencia que alguien te compartió,Hace seis meses,Por mucho tiempo,Pasa una vez cada tanto,Los compañeros,En 3,Valores,Novedoso,Control,Profesores,Comprender la realidad de las cosas,Comprender la realidad de las cosas,Oportunidades futuras,Trabajar en equipo,Mujer
12644612618,401495591,2021-05-10 10:49:37,2021-05-10 11:00:35,190.28.124.128,,,,,No,ANTIOQUIA,Escuela Normal Superor de Antioquia,"Algo que tuvo un impacto parcialmente ha sido volver a la virtualidad, ya que estando en esta dejo de compartir con mis compañeras como se hacia abitualemnte, volver aquella rutina de estar sentada en un computador en ocasiones o en su mayoría de tiempo es agotador ",1,Tristeza,Experiencia personal,Hace seis meses,Por algún tiempo,Muy rara y única,Los compañeros,En 3,Educación y aprendizaje,Pasa frecuentemente,Absolutamente ningún control,A mi,Nuevos conocimientos y habilidades,Importancia de experimentar,Entender lo que sucede a tu alrededor,Trabajar en equipo,Mujer
12644612353,401495591,2021-05-10 10:49:29,2021-05-10 11:00:31,181.206.77.228,,,,,Sí,ANTIOQUIA,Escuela Normal Superor de Antioquia,"En la entrega de notas, la maestra estaba hablando con mi padre acerca de mi desempeño durante el periodo, yo estaba escuchando y solo mi padre sabia de mi presencia, así que la maestra pensaba que solo mi padre la estaba escuchando, durante la charla menciono que mantuve mi buen promedio pero que me faltaba participar mas en clase, mencionando que yo solo participaba si me preguntaban directamente, haciendo alusión a que siempre podía participar pero decidía no hacerlo por voluntad propia; así que eso me motivo a participar con mas regularidad, ya que lo que dijo la maestra era verdad, muchas veces podía participar pero no lo hacia por timidez, y esa timidez no la podre tener en un futuro, prefiero avergonzarme ahora siendo estudiante que mañana siendo una profesional.",1,Motivación,Experiencia personal,Hace algunos días o semanas,Por mucho tiempo,Muy rara y única,Nadie,Solo en este,Educación y aprendizaje,Novedoso,Control,Profesores,Importancia de experimentar,Comprender la realidad de las cosas,Oportunidades futuras,Ser el mejor,Mujer
12644612055,401495591,2021-05-10 10:49:33,2021-05-10 11:00:25,186.80.28.105,,,,,Sí,ANTIOQUIA,Escuela Normal Superor de Antioquia,"mas que una situación una experiencia, en la institución tenemos proyectos para la comprensión y en 2019 se llevo a cabo una teatro de sombras referente a la historia de superación de Medellín y considero que tuvo impacto no solo para las que lo hicieron sino para los estudiantes en general.  ",2,Alegría,Experiencia personal,Hace dos años,Por siempre,Pasa una vez cada tanto,Todo el mundo,En más de 4,Educación y aprendizaje,Novedoso,Control,Profesores,Nuevos conocimientos y habilidades,Comprender la realidad de las cosas,Entender lo que sucede a tu alrededor,Trabajar en equipo,Mujer
12644609846,401495591,2021-05-10 10:49:46,2021-05-10 10:59:46,190.251.157.154,,,,,Sí,ANTIOQUIA,Escuela Normal Superor de Antioquia,"Quiero que el año termine presencial, poder disfrutar mi ultimo grado de colegio con mis compañeras y maestros, esto virtual se volvió muy rutinario y aburrido, los maestros intentan hacer cosas nuevas pero en su totalidad no lo logran, ya a uno no le da ni ganas de participar y menos entrar a clase virtual.",3,Motivación,Experiencia personal,Hace un año,Por siempre,Pasa todo el tiempo,Todo el mundo,Solo en este,Relación con los compañeros,Novedoso,Total control,Amigos,Comprender la realidad de las cosas,Comprender la realidad de las cosas,Oportunidades futuras,Ser el mejor,Mujer
12644605880,401495591,2021-05-10 10:50:47,2021-05-10 10:58:34,181.51.33.22,,,,,Sí,ANTIOQUIA,Escuela Normal Superor de Antioquia,"Algunas catedras de vocacionalidad me han ayudado a reflexionar sobre mi futuro, y sobre las opciones que considero para más adelante y cómo afectan o aportan a mi proceso de vida",1,Motivación,Una opinión,Hace seis meses,Por algún tiempo,Pasa una vez cada tanto,Todo el mundo,En 2,Educación y aprendizaje,Pasa frecuentemente,Control,A mi,Comprender la realidad de las cosas,Comprender la realidad de las cosas,Oportunidades futuras,Trabajar en equipo,Mujer
12644601874,401495591,2021-05-10 10:49:36,2021-05-10 10:57:21,191.95.145.41,,,,,Sí,ANTIOQUIA,Escuela Normal Superor de Antioquia,"Al inicio de este año escolar, en la institución de realizó una feria universitaria, esta hizo que pudiera ver las diferentes opciones que involucraban mi futuro, tomando así gran relevancia en lo que pudiera pensar sobre lo que quiero más adelante. ",1,Motivación,Experiencia personal,Hace algunos días o semanas,Por algún tiempo,Muy rara y única,Nadie,Solo en este,La seguridad en el colegio,Novedoso,Control,Otros,Nuevos conocimientos y habilidades,Otros,Oportunidades futuras,Trabajar en equipo,Mujer
12644601793,401495591,2021-05-10 10:50:03,2021-05-10 10:57:20,190.251.158.114,,,,,Sí,ANTIOQUIA,Escuela Normal Superor de Antioquia,Cuéntanos una situación que haya sucedido en tu institución educativa que te haya hecho pensar cómo quieres que termine tu año escolar: Con todo lo que esta pasando nuestro colegio nos ha motivado demasiado y esto me motiva a terminar mi año escolar de la mejor manera ya que siempre me he sentido apoyada por mis docentes.,3,Motivación,Experiencia personal,Hace algunos días o semanas,Por siempre,Común,Todo el mundo,En más de 4,Educación y aprendizaje,Pasa frecuentemente,Control,Profesores,Comprender la realidad de las cosas,Comprender la realidad de las cosas,Oportunidades futuras,Trabajar en equipo,Mujer
12644600096,401495591,2021-05-10 10:49:36,2021-05-10 10:56:48,190.250.23.199,,,,,Sí,ANTIOQUIA,Escuela Normal Superor de Antioquia,"La institución brinda espacios en los que varias universidades vayan y nos hablen sobre los servicios que cada una presenta, de esta manera se genera un interés en saber que carrera elegir y que universidad puede ser la mejor",1,Motivación,Experiencia personal,Hace algunos días o semanas,Por algún tiempo,Pasa una vez cada tanto,Nadie,En más de 4,Educación y aprendizaje,Pasa frecuentemente,Control,A mi,Otros,Otros,Oportunidades futuras,Trabajar en equipo,Mujer
12644596908,401495591,2021-05-10 10:49:29,2021-05-10 10:55:48,201.233.87.98,,,,,No,ANTIOQUIA,Escuela Normal Superor de Antioquia,Una situación que me haya hecho pensar sobre mi futuro seria cuando hicimos una orientación vocacional la cual me ayudo a reafirmar lo que queria hacer cuando saliera de la escuela,1,Motivación,Experiencia personal,Hace algunos días o semanas,Por algún tiempo,Común,Todo el mundo,En 2,Educación y aprendizaje,Novedoso,Control,A mi,Nuevos conocimientos y habilidades,Nuevos conocimientos y habilidades,Oportunidades futuras,Comprender a los otros,Mujer
12644593155,401495591,2021-05-10 10:49:50,2021-05-10 10:54:36,190.70.0.65,,,,,Sí,ANTIOQUIA,Escuela Normal Superor de Antioquia,"Me ha marcado y me ha orientado a cerca de mi futuro que nos ofrecen charlas de motivación personal, motivación vocacional  ",1,Motivación,Experiencia personal,Hace algunos días o semanas,Por siempre,Común,Todo el mundo,En más de 4,Educación y aprendizaje,Completamente novedoso,Total control,A mi,Nuevos conocimientos y habilidades,Nuevos conocimientos y habilidades,Oportunidades futuras,Ser el mejor,Mujer
