respondent_id,collector_id,date_created,date_modified,ip_address,email_address,first_name,last_name,custom_1,"Autorizo a United Way Colombia a realizar toma de fotografías, videos o entrevistas en las que aparezco y cedo el uso de mi imagen y registros de las actividades en las cuales participé, para los fines contemplado en la Política de Privacidad para el Tratamiento de Datos Personales de dicha entidad, en la cual se incluyen, entre otras, la realización de piezas de comunicación interna y externa. Como titular de los datos podré, en cualquier momento, solicitar que la información sea modificada, actualizada o retirada de las bases de datos de United Way Colombia. Lo invitamos a conocer los detalles en: https://bit.ly/2O4diuQ",DEPARTAMENTO,NOMBRE DEL CENTRO EDUCATIVO,"Imagine que está en una conferencia con otros colegas. Un amigo de otra escuela le pide que describa una experiencia en el aula en la cual probó algo diferente que produjo resultados positivos, negativos, interesantes o mixtos en los alumnos.¿Cuál experiencia compartiría",Mi experiencia produjo…,En esta experiencia me enfoqué en…,Mi intención fue cultivar en los estudiantes…,Los estudiantes aprenden a través de…,En mi experiencia un factor determinante es…,En mi experiencia fueron determinantes…,Mi foco estuvo en cultivar en los estudiantes…,Mi papel como maestro fue…,Pensando en la experiencia/ejemplo que acabo de compartir… A los estudiantes se les animó a aprender…,El aprendizaje fue…,Las decisiones fueron influenciadas por…,En general mi ejemplo/experiencia me produjo,Esta situación sucede…,Esta historia se relaciona con…,Tiempo que llevo trabajando en educación...,Tipo de Institución..,Preescolar,Básica Primaria,Básica Secundaria,Media,Género,Edad,Nivel Educativo
12626589650,402373207,2021-05-03 16:19:32,2021-05-03 16:41:12,191.95.175.173,,,,,Sí,VALLE DEL CAUCA,Colegio Comfandi Buga,Mi primer libro digital (story Jumper): Todo sobre mí,Resultados interesantes,Estimular el aprendizaje y transmitir prácticas,Habilidades de vida prácticas/futura empleabilidad,Experimentar y crear,Habilidades y capacitación,Estudiantes y padres,Habilidades prácticas para la vida/ futura empleabilidad,Ayudar a los estudiantes a alcanzar los objetivos,1,0,1,Satisfacción/orgullo,Con frecuencia,Educación / aprendizaje,De uno a cinco años,No oficial,Preescolar,Básica Primaria,,,Mujer,30 a 39 años,Profesional no Licenciado
12626271889,402373207,2021-05-03 14:33:41,2021-05-03 15:10:23,191.111.189.148,,,,,Sí,VALLE DEL CAUCA,Colegio Comfandi Buga,Mi primer libro digital (Story Jumper):Todo sobre mi.,Resultados interesantes,Estimular el aprendizaje y transmitir prácticas,Habilidades de vida prácticas/futura empleabilidad,Experimentar y crear,Habilidades y capacitación,Estudiantes y padres,Habilidades prácticas para la vida/ futura empleabilidad,Ayudar a los estudiantes a alcanzar los objetivos,0,0,0,Satisfacción/orgullo,Todo el tiempo,Educación / aprendizaje,Más de quince año,No oficial,,Básica Primaria,,,Mujer,40 a 49 años,Licenciado
12625990409,402373207,2021-05-03 13:22:55,2021-05-03 13:27:21,181.62.52.112,,,,,Sí,VALLE DEL CAUCA,Colegio Comfandi Terranova,concurso de ortografía,Resultados positivos,Estimular el aprendizaje y transmitir prácticas,Buenas bases de comprensión para futuros aprendizajes,Aplicar y hacer,Habilidades y capacitación,Estudiantes y padres,Buenas bases para la compresión de futuros aprendizajes,Ayudar a los estudiantes a alcanzar los objetivos,0,0,0,Felicidad,Con frecuencia,Educación / aprendizaje,,,,,,,,,
12625765443,402373207,2021-05-03 12:07:27,2021-05-03 12:15:09,190.70.182.129,,,,,Sí,VALLE DEL CAUCA,Colegio Comfandi Buga,las diferentes formas de cumplir con las competencias realizando tareas informáticas mediante la variedad en software y hardware,Resultados positivos,El desarrollo socioemocional del alumno,Buenas bases de comprensión para futuros aprendizajes,Experimentar y crear,"Recursos educativos (ej.. tecnología, fondos, etc.",Estudiantes y padres,Habilidades prácticas para la vida/ futura empleabilidad,Ayudar a los estudiantes a alcanzar los objetivos,50,50,50,Satisfacción/orgullo,Todo el tiempo,Tecnología,De diez a quince años,No oficial,,,Básica Secundaria,Media,Mujer,40 a 49 años,Magister
12625628156,402373207,2021-05-03 11:20:10,2021-05-03 11:27:28,181.54.0.91,,,,,Sí,VALLE DEL CAUCA,Colegio Comfandi Buga,"compartiría todos, del positivo aprenderíamos, del negativo revisaríamos que paso? y como podemos mejorarlo.",Resultados mixtos,Estimular el aprendizaje y transmitir prácticas,Comprensión del mundo que los rodea,Reflexionar y comprender,Habilidades y capacitación,Estudiantes y padres,Buenas bases para la compresión de futuros aprendizajes,Abrir nuevos mundos para los estudiantes,100,100,100,Felicidad,Con frecuencia,Innovación / creatividad,De diez a quince años,No oficial,,,Básica Secundaria,Media,Mujer,30 a 39 años,Licenciado
12625621832,402373207,2021-05-03 11:22:21,2021-05-03 11:26:30,181.54.0.91,,,,,Sí,VALLE DEL CAUCA,Colegio Comfandi Buga,el manejo de los laboratorios virtuales,Resultados positivos,Estimular el aprendizaje y transmitir prácticas,Comprensión del mundo que los rodea,Experimentar y crear,Habilidades y capacitación,Estudiantes y padres,Comprensión del mundo que los rodea,Abrir nuevos mundos para los estudiantes,4,52,63,Felicidad,Con frecuencia,Educación / aprendizaje,De cinco a diez años,Oficial,,,Básica Secundaria,Media,Mujer,20 a 29 años,Magister
12624976719,402373207,2021-05-03 07:50:23,2021-05-03 08:02:53,190.66.153.7,,,,,Sí,VALLE DEL CAUCA,Colegio Comfandi Terranova,Aplicacion de Geogebra en clase de geometria,Resultados interesantes,Estimular el aprendizaje y transmitir prácticas,Comprensión del mundo que los rodea,Aplicar y hacer,"Recursos educativos (ej.. tecnología, fondos, etc.",Estudiantes y padres,Comprensión del mundo que los rodea,Abrir nuevos mundos para los estudiantes,100,19,100,Satisfacción/orgullo,Con frecuencia,Tecnología,De cinco a diez años,No oficial,,Básica Primaria,Básica Secundaria,,Hombre,30 a 39 años,Licenciado
12623041741,402373207,2021-05-02 07:47:54,2021-05-02 07:51:44,190.253.248.49,,,,,No,VALLE DEL CAUCA,Colegio Comfandi Terranova,spelling bee,Resultados positivos,Estimular el aprendizaje y transmitir prácticas,Buenas bases de comprensión para futuros aprendizajes,Aplicar y hacer,"Recursos educativos (ej.. tecnología, fondos, etc.",Estudiantes y padres,Buenas bases para la compresión de futuros aprendizajes,Ayudar a los estudiantes a alcanzar los objetivos,100,0,100,Felicidad,Todo el tiempo,Educación / aprendizaje,De uno a cinco años,No oficial,Preescolar,Básica Primaria,Básica Secundaria,,Hombre,30 a 39 años,Licenciado
12622538512,402373207,2021-05-01 22:13:12,2021-05-01 22:33:33,181.62.54.53,,,,,Sí,LA GUAJIRA,Instituto Central de Comercio y Bachillerato,mmmmm,Resultados positivos,El desarrollo socioemocional del alumno,Buenas bases de comprensión para futuros aprendizajes,Aplicar y hacer,"Recursos educativos (ej.. tecnología, fondos, etc.",Maestros y rectores,Habilidades prácticas para la vida/ futura empleabilidad,Ayudar a los estudiantes a alcanzar los objetivos,40,21,21,Indiferencia,Con frecuencia,Comida,,,,,,,,,
12620119392,402373207,2021-04-30 14:04:47,2021-04-30 14:11:18,181.62.52.1,,,,,Sí,VALLE DEL CAUCA,Colegio Comfandi Tuluá,Un debate de un tema de interes y actual,Resultados positivos,Estimular el aprendizaje y transmitir prácticas,Habilidades de vida prácticas/futura empleabilidad,Reflexionar y comprender,Tiempo y la planeación curricular,Estudiantes y padres,Habilidades prácticas para la vida/ futura empleabilidad,Ayudar a los estudiantes a alcanzar los objetivos,55,66,50,Satisfacción/orgullo,Con frecuencia,Justicia,De cinco a diez años,No oficial,,,Básica Secundaria,Media,Hombre,30 a 39 años,Magister
