respondent_id,collector_id,date_created,date_modified,ip_address,email_address,first_name,last_name,custom_1,"Autorizo a United Way Colombia a realizar toma de fotografías, videos o entrevistas en las que aparezco y cedo el uso de mi imagen y registros de las actividades en las cuales participé, para los fines contemplado en la Política de Privacidad para el Tratamiento de Datos Personales de dicha entidad, en la cual se incluyen, entre otras, la realización de piezas de comunicación interna y externa. Como titular de los datos podré, en cualquier momento, solicitar que la información sea modificada, actualizada o retirada de las bases de datos de United Way Colombia. Lo invitamos a conocer los detalles en: https://bit.ly/2O4diuQ",DEPARTAMENTO,NOMBRE DEL CENTRO EDUCATIVO,"Responde a una de estas tres opciones, la que prefieras responder:Cuéntanos una situación que haya sucedido en tu institución educativa que te haya hecho pensar sobre tu futuro.Cuéntanos una situación que haya sucedido en tu institución educativa que te haya impactado particularmente.Cuéntanos una situación que haya sucedido en tu institución educativa que te haya hecho pensar cómo quieres que termine tu año escolar.Describe la situación, y lo que pasó.Comparte tu experiencia / tu ejemplo aquí:",¿Cuéntanos que opción elegiste?,La historia que contaste te genera.,La experiencia que compartiste es,Cuando sucedió,Por cuanto tiempo,¿Qué tan común?,¿Quién debe saber esta historia?  ,¿En cuantos colegios has estado?,Temas,Tu historia describe algo: ,Sentí que tuve,La historia involucra,Esta historia me enseñó,Esta historia me enseñó,La lección impacto en,Es importante,¿Cuál es tu genero? 
12629069077,401495591,2021-05-04 11:34:43,2021-05-04 11:43:05,191.88.51.242,,,,,Sí,ANTIOQUIA,IE Benedikta Zur Nieden,Cuando empezaron a recolextar bolletas de plástico para hacer cillas y mesas ami me pareció muy bien y me hizo pensar a futuro y no solo el mio si no de todos por que el mundo esta muy mal a causa de toda la basura y plástico en los océanos  ,1,Motivación,Experiencia personal,Hace un año,Por siempre,Común,Los profesores y las directivas,En 3,Innovación y creatividad,Completamente novedoso,Control,Otros,Nuevos conocimientos y habilidades,Nuevos conocimientos y habilidades,Entender lo que sucede a tu alrededor,Trabajar en equipo,Mujer
12625088557,401495591,2021-05-03 08:35:16,2021-05-03 08:39:29,200.122.223.74,,,,,No,ANTIOQUIA,IE Reino de Bélgica,Pues la verdad de ver tantas niñas siendo madres y estudiantes a la vez me hizo pensar que tengo que seguir adelante con mi estudio ,1,Tranquilidad,Una historia que escuchaste por ahí,Hace dos años,Por algún tiempo,Común,Nadie,Solo en este,Ninguna de los anteriores,Novedoso,Total control,Otros,Comprender la realidad de las cosas,Comprender la realidad de las cosas,Oportunidades futuras,Comprender a los otros,Mujer
12620394854,401495591,2021-04-30 15:50:16,2021-04-30 16:02:17,45.175.20.146,,,,,No,ANTIOQUIA,IE Reino de Bélgica,Me sorprende de que Allan serrado el colegio y que no podamos reunirnos ni los estudiantes ni los profesores,2,Tristeza,Una opinión,Hace algunos días o semanas,Por mucho tiempo,Pasa una vez cada tanto,Los profesores y las directivas,En más de 4,Ninguna de los anteriores,Pasa todo el tiempo,Control,Amigos,Comprender la realidad de las cosas,Otros,Entender lo que sucede a tu alrededor,Trabajar en equipo,Hombre
12619945417,401495591,2021-04-30 13:03:57,2021-04-30 13:07:40,200.122.223.74,,,,,Sí,ANTIOQUIA,IE Reino de Bélgica,No pues ninguna situación ,3,Tristeza,Una opinión,Hace algunos días o semanas,Por siempre,Pasa todo el tiempo,Nadie,En 3,Bullying y matoneo,Novedoso,Poco control,A mi,Comprender la realidad de las cosas,Comprender la realidad de las cosas,Entender lo que sucede a tu alrededor,Comprender a los otros,Mujer
12619541212,401495591,2021-04-30 10:43:08,2021-04-30 10:53:24,191.95.156.191,,,,,Sí,ANTIOQUIA,IE Reino de Bélgica,La situacion que me paso fue la de que me haya hecho pensar en como queria terminar el año escolar,3,Motivación,Experiencia personal,Hace dos años,Por mucho tiempo,Muy rara y única,Nadie,Solo en este,Valores,Pasa frecuentemente,Control,A mi,Importancia de experimentar,Importancia de experimentar,Entender lo que sucede a tu alrededor,Trabajar en equipo,Hombre
12619516016,401495591,2021-04-30 10:30:29,2021-04-30 10:45:14,45.178.13.225,,,,,Sí,ANTIOQUIA,IE Reino de Bélgica,"Debido a la pandemia y el no regreso a clases nos tiene muy afectados por qué no todos tenemos la facilidad para conectarnos a las clases, y el aprendizaje siento que no es el mismo y quiero que termine mi año escolar con clases precenciales ",3,Impotencia,Experiencia personal,Hace un año,Por mucho tiempo,Muy rara y única,Todo el mundo,Solo en este,Educación y aprendizaje,Completamente novedoso,Poco control,A mi,Comprender la realidad de las cosas,Comprender la realidad de las cosas,Oportunidades futuras,Trabajar en equipo,Hombre
12619441930,401495591,2021-04-30 10:11:21,2021-04-30 10:21:40,45.175.20.140,,,,,Sí,ANTIOQUIA,IE Reino de Bélgica,Un incendio que crearon unos alumnos del grado sexto ,2,Tristeza,Experiencia personal,Hace dos años,Por mucho tiempo,Muy rara y única,Los profesores y las directivas,En 2,La seguridad en el colegio,Completamente novedoso,Absolutamente ningún control,Otros,Otros,Otros,Entender lo que sucede a tu alrededor,Trabajar en equipo,Hombre
12619439507,401495591,2021-04-30 10:12:08,2021-04-30 10:20:56,45.175.20.143,,,,,Sí,ANTIOQUIA,IE Reino de Bélgica,Qui ero que mi año termine disfrutando con mis compañeros ,3,Alegría,Una opinión,Hace dos años,Por siempre,Pasa una vez cada tanto,Los profesores y las directivas,Solo en este,Relación con los compañeros,Pasa frecuentemente,Total control,Profesores,Nuevos conocimientos y habilidades,Nuevos conocimientos y habilidades,Relación con los demás,Trabajar en equipo,Hombre
12619429021,401495591,2021-04-30 10:08:33,2021-04-30 10:17:45,201.184.135.66,,,,,Sí,ANTIOQUIA,IE Reino de Bélgica, bueno el día que nos dieron la información de la media técnica me pareció súper me hizo pensar sobre mi futuro ya que yo quiero ser diseñadora gráfica y me gustaría poder ser profesional ,1,Motivación,Experiencia personal,Hace algunos días o semanas,Por mucho tiempo,Pasa todo el tiempo,Nadie,En más de 4,Innovación y creatividad,Pasa frecuentemente,Total control,Familia,Nuevos conocimientos y habilidades,Nuevos conocimientos y habilidades,Oportunidades futuras,Trabajar en equipo,Mujer
12619173514,401495591,2021-04-30 08:28:00,2021-04-30 09:03:17,191.95.152.66,,,,,Sí,ANTIOQUIA,IE Reino de Bélgica,cuando el covid llego a Colombia y nos digiero que nos teníamos que ir a estudiar a nuestras casas,3,Tristeza,Experiencia personal,Hace un año,Por siempre,Pasa todo el tiempo,Nadie,Solo en este,Ninguna de los anteriores,Completamente novedoso,Total control,Amigos,Comprender la realidad de las cosas,Comprender la realidad de las cosas,Entender lo que sucede a tu alrededor,Trabajar en equipo,Mujer
