respondent_id,collector_id,date_created,date_modified,ip_address,email_address,first_name,last_name,custom_1,"Autorizo a United Way Colombia a realizar toma de fotografías, videos o entrevistas en las que aparezco y cedo el uso de mi imagen y registros de las actividades en las cuales participé, para los fines contemplado en la Política de Privacidad para el Tratamiento de Datos Personales de dicha entidad, en la cual se incluyen, entre otras, la realización de piezas de comunicación interna y externa. Como titular de los datos podré, en cualquier momento, solicitar que la información sea modificada, actualizada o retirada de las bases de datos de United Way Colombia. Lo invitamos a conocer los detalles en: https://bit.ly/2O4diuQ",DEPARTAMENTO,NOMBRE DEL CENTRO EDUCATIVO,"Queremos saber cuánto te gusta ir al colegio, estudiar y aprender. Piensa en algo que te haya sucedido el año pasado en tu colegio, que te produjo una de estas trescosas. Escoge una:","De acuerdo con la situación que escogiste en la pregunta anterior ¿Cuál experiencia compartirías? Describe la experiencia, y lo que pasó",Sugiere un #hashtag o un título para tu respuesta anterior:,En la experiencia que escribí… (historia),Mi historia está relacionada con…,Esa situación me ayudó a…,Esta situación me va a ayudar a…,Esto me ayudó a entender…,En mi escuela mis profesores se dedican a…,Pensando en la situación/ejemplo que compartí... Esto me animó a aprender…,Lo que aprendí fue…,Lo que aprendí tiene importancia para…,Las decisiones fueron influenciadas por…,Esta situación me generó una sensación de… ,Esta situación sucede…,Esta historia se relaciona con…,Grado...,Edad... ,El nivel de educación de mis padres o acudientes es…,Género
12600953752,402496032,2021-04-23 16:08:19,2021-04-23 16:13:27,45.175.20.130,,,,,Sí,ANTIOQUIA,IE. La Avanzada,te enseñó algo nuevo,Conocí amigos nuevos,Alegría,Aprendí algo nuevo,Quienes me rodean,Aprender cosas,Ser más creativo,Lo que podría pasar en el futuro,Mostrarnos nuevos mundos y nuevas posibilidades,100,100,100,100,Felicidad,Todo el tiempo,El trabajo en equipo,4,8 a 10 años,Técnico,Hombre
12600893672,402496032,2021-04-23 15:29:49,2021-04-23 15:50:30,179.12.106.56,,,,,Sí,ANTIOQUIA,IE. La sierra,te enseñó algo nuevo,Aprendí cósas nuevas que no había aprendido y conseguí amigos,Aprende algo nuevo,Aprendí algo nuevo,Quienes me rodean,Desarrollar mis habilidades,Entender mejor,Lo que podría pasar en el futuro,Ayudarnos a alcanzar lo que nos proponemos,100,0,50,50,Felicidad,Con frecuencia,El trabajo en equipo,6,11 a 13 años,Técnico,Hombre
12600515370,402496032,2021-04-23 13:02:56,2021-04-23 13:12:31,191.95.156.220,,,,,Sí,CHOCÓ,IE. La sierra,te enseñó algo nuevo,Aprendí mucho más sobre lo que significa el covid 19 ,Si sugiero un hashtag ,Aprendí algo nuevo,Quienes me rodean,Aprender cosas,Ser más creativo,Lo que pasaba antes,Ayudarnos a alcanzar lo que nos proponemos,100,38,100,100,Felicidad,Todo el tiempo,Ninguna de las anteriores,10,17 a 19 años,Bachiller,Mujer
12600323243,402496032,2021-04-23 11:51:21,2021-04-23 12:02:27,181.128.63.117,,,,,Sí,ANTIOQUIA,IE. La sierra,te dio curiosidad por aprender más,"Mi experiencia fue en una materia de ingles, fue super interesante e importante, el año 2018, el profesor nos estaba enseñando los signos de pregunta en el vocabulario en ingles, fue super interesante y muy bien explicado, tambien los verbos ",#aprendamosmás,Aprendí algo nuevo,Conmigo mismo,Desarrollar mis habilidades,Entender mejor,Lo que podría pasar en el futuro,Ayudarnos a alcanzar lo que nos proponemos,70,23,85,95,Satisfacción/orgullo,Con frecuencia,La forma cómo los profesores enseñan,10,14 a 16 años,Bachiller,Mujer
12600124404,402496032,2021-04-23 10:51:52,2021-04-23 10:57:51,186.97.156.131,,,,,Sí,ANTIOQUIA,IE. La sierra,te enseñó algo nuevo,Cada Vez Aprendo Más Sobre Lo Que Me Da Más Dificultad ,No,Me dio curiosidad por saber más,Quienes me rodean,Entender a lo que pasa a mi alrededor,Entender mejor,Lo que podría pasar en el futuro,Mostrarnos nuevos mundos y nuevas posibilidades,100,100,100,100,Felicidad,Rara vez,Liderazgo,10,17 a 19 años,Bachiller,Mujer
12600123166,402496032,2021-04-23 10:51:25,2021-04-23 10:57:12,186.97.182.19,,,,,Sí,ANTIOQUIA,IE. La sierra,te confundió,Me confundió porque el año pasado nos tocó estudiar desde la casa y fue un poco duro así no poder ver a los profes y todo eso es un poco aburridos ,#QueremosVolverAlcolegio,Me sentí confundido/no entendí nada,Conmigo mismo,Desarrollar mis habilidades,Entender mejor,Lo que pasaba antes,Ayudarnos a alcanzar lo que nos proponemos,50,62,50,73,Tristeza,Una vez,Ninguna de las anteriores,9,14 a 16 años,Bachiller,Mujer
12600120291,402496032,2021-04-23 10:50:23,2021-04-23 10:56:11,181.128.60.151,,,,,Sí,ANTIOQUIA,IE. La sierra,te enseñó algo nuevo,Aprendí temas nuevos,#aprendiendo,Aprendí algo nuevo,Mi país/el mundo,Entender a lo que pasa a mi alrededor,Entender mejor,Lo que pasaba antes,Mostrarnos nuevos mundos y nuevas posibilidades,72,24,17,79,no está seguro,Rara vez,Mi aporte a la humanidad/al mundo/a los demás,6,11 a 13 años,Universitario,Hombre
12600117209,402496032,2021-04-23 10:41:43,2021-04-23 10:56:44,191.95.158.7,,,,,No,ANTIOQUIA,IE. La sierra,te enseñó algo nuevo,el compartir pensamientos e ideas sobre la ética y el debatir sobre problemas del día a día ,#pensamiento justo ,Aprendí algo nuevo,Conmigo mismo,Aprender cosas,Hacer cosas,Lo que podría pasar en el futuro,Mostrarnos nuevos mundos y nuevas posibilidades,15,60,37,100,Indiferencia,Rara vez,Ninguna de las anteriores,10,14 a 16 años,Técnico,Hombre
12600087227,402496032,2021-04-23 10:41:06,2021-04-23 10:45:09,191.95.147.59,,,,,Sí,ANTIOQUIA,IE. La sierra,te enseñó algo nuevo,No me acuerdo,Nose,Me sentí confundido/no entendí nada,Quienes me rodean,Entender a lo que pasa a mi alrededor,Entender mejor,Lo que podría pasar en el futuro,Entendernos y darnos soporte emocional,100,30,100,50,Tristeza,Rara vez,El trabajo en equipo,,,,
12598077886,402496032,2021-04-22 17:12:12,2021-04-22 17:19:04,181.155.234.7,,,,,Sí,ANTIOQUIA,IE. La Avanzada,te enseñó algo nuevo,A multiplicar,0,Aprendí algo nuevo,Conmigo mismo,Aprender cosas,Entender mejor,Lo que pasaba antes,Mostrarnos nuevos mundos y nuevas posibilidades,97,29,18,100,Satisfacción/orgullo,Todo el tiempo,Lo que hago en las horas de clase,11,más de 19 años,Técnico,Mujer
