respondent_id,collector_id,date_created,date_modified,ip_address,email_address,first_name,last_name,custom_1,"Autorizo a United Way Colombia a realizar toma de fotografías, videos o entrevistas en las que aparezco y cedo el uso de mi imagen y registros de las actividades en las cuales participé, para los fines contemplado en la Política de Privacidad para el Tratamiento de Datos Personales de dicha entidad, en la cual se incluyen, entre otras, la realización de piezas de comunicación interna y externa. Como titular de los datos podré, en cualquier momento, solicitar que la información sea modificada, actualizada o retirada de las bases de datos de United Way Colombia. Lo invitamos a conocer los detalles en: https://bit.ly/2O4diuQ",FECHA DE IMPLEMENTACIÓN,DEPARTAMENTO,MUNICIPIO,NOMBRE DEL CENTRO INFANTIL O INSTITUCIÓN EDUCATIVA,¿Cuál es tu nivel de formación?,¿Cuéntanos en qué rango de edad te encuentras ?,¿Cuál es tu género?,"Escribe una historia relacionada con una situación importante para ti (positiva, negativa o ambas) que hayas vivido o que estés viviendo en el Centro Infantil o Institución Educativa al que asiste el niño/niña. Todo lo que quieras decir es válido:",La historia que contaste te generó.,¿Con qué frecuencia sucede la situación que narraste en la historia?,¿Con cuáles de las siguientes situaciones se relaciona tu historia? Escoge 3,La forma como está organizado el día a día de los niños y las niñas en el Centro Infantil o Institución Educativa.,La vinculación de las familias a las propuestas educativas.,Los momentos de alimentación de las niñas y los niños.,El desempeño de los agentes educativos/docentes y sus prácticas.,La disposición intencionada de los ambientes pedagógicos y otros espacios.,"La calidad de las interacciones entre agentes educativos/docentes, familias, niños y niñas.",El acompañamiento al tránsito educativo de las niñas y los niños.,El trabajo colaborativo entre los agentes educativos/docentes.,La articulación entre la propuesta pedagógica y el proyecto educativo institucional.,"Gestión socioemocional de los agentes educativos/docentes, familias, niños y niñas.",La garantía de derechos de los niños y las niñas,"Mientras escribías la historia, sentiste que...",¿Cuál es el actor principal de tu historia?,"Si en la anterior pregunta tu respuesta fue ""Otro"", escribe cuál.","De acuerdo con la historia que constaste, el Centro Infantil o la Institución Educativa cumple la función de:","Si fueras una niña o niño de primera infancia, ¿Cómo te gustaría vivir tu educación inicial? Elegir 3 opciones",Una alimentación que me guste.,Objetos y cosas para crear y jugar.,Que mi familia me acompañe más.,Poder hablar y preguntar más.,Más momentos de juego y diversión.,Exploración con la naturaleza.,Lugares donde me sienta tranquilo(a) y alegre.,Experiencias que me sorprendan y con las que puedo aprender.,Compartir (liderar) experiencias con los demás.,Sentirme seguro(a)  y protegido(a) por los adultos que me rodean.,Contar con ambientes para disfrutar,op1,op2,En tu rol como familia o persona significativa ¿Hacia dónde debería enfocar el agente educativo/docente sus acciones para aportar a la calidad de la educación inicial?   Elige 3 opciones,Desarrollar su creatividad y recursividad.,Motivar la vinculación de las familias a las propuestas del Centro Infantil / Institución Educativa.,Actualizar sus conocimientos para innovar en sus prácticas.,Apropiarse e implementar la propuesta pedagógica y los referentes de educación inicial.,Crear o hacer parte de comunidades de aprendizaje con otros actores.,"Identificar situaciones problemáticas en el Centro Infantil / Institución Educativa y generar soluciones creativas, de manera colaborativa e interdisciplinaria",Otra,cual
12999194712,406582240,2021-09-27 12:27:08,2021-09-27 12:32:05,181.132.149.241,,,,,Sí,09/07/2021,ANTIOQUIA,Medellín,CI COMUNIQUEMONOS SOL SOLECITO,Bachillerato.,31 a 40 años,Mujer,"La niña no comía solita en la cas y las profes le han ayudado mucho en el desarrollo, le hablaban, le enseñaban a usar los cubiertos, a que se desarrollara en esa área, y ahora, así se demore, se lo come todo.",Orgullo/Satisfacción,De vez en cuando,,,,Los momentos de alimentación de las niñas y los niños.,,,,,,,,,Fui muy honesto y conté lo que me pasó,Agentes educativos/docentes,no aplica,Potenciar el desarrollo de los niños y las niñas.,,Una alimentación que me guste.,,Que mi familia me acompañe más.,,,,,,,Sentirme seguro(a)  y protegido(a) por los adultos que me rodean.,,,,Desarrollar sus capacidades socioemocionales.,Desarrollar su creatividad y recursividad.,,Actualizar sus conocimientos para innovar en sus prácticas.,,,,,
12999066130,406582240,2021-09-27 11:37:42,2021-09-27 11:45:52,181.132.149.241,,,,,Sí,09/06/2021,ANTIOQUIA,Medellín,CI JESUS AMIGO ZONA 30 DOS,Primaria.,51 a 60 años,Mujer,"Un día me llamaron, la profe me dijo que mi nieto estaba enfermo, que el empezó indispuesto, yo creí que era pereza del niño par a venir, pero a la hora del almuerzo me llamaron por que al niño le dolía el estómago, me sentí muy triste por que el niño es muy tímido y le da pena dar del cuerpo en otra parte que no sea la casa, cuando llegamos a la casa, el fue al baño y después de eso se empezó a sentir mejor.",Tristeza,Única vez,,,,Los momentos de alimentación de las niñas y los niños.,,,"La calidad de las interacciones entre agentes educativos/docentes, familias, niños y niñas.",,,,,,Fui muy honesto y conté lo que me pasó,Niños/niñas,no aplica,Abordar la situación que narré con el apoyo de los conocimientos profesionales y personales de los agentes educativos.,,,,,,,Exploración con la naturaleza.,,,Compartir (liderar) experiencias con los demás.,Sentirme seguro(a)  y protegido(a) por los adultos que me rodean.,,,,Desarrollar sus capacidades socioemocionales.,Desarrollar su creatividad y recursividad.,Motivar la vinculación de las familias a las propuestas del Centro Infantil / Institución Educativa.,,,,,,
12999041786,406582240,2021-09-27 11:30:45,2021-09-27 11:37:32,181.132.149.241,,,,,Sí,09/10/2021,ANTIOQUIA,Medellín,CI SER Y HACER CARAMBOLAS 2,Bachillerato.,21 a 30 años,Mujer,"La niña no sabía hablar bien o ir al baño sola, no se sabía limpiar y al ingresar al centro infantil se vio el avance al entrar al baño sola, vestirse sola, se peina y el lenguaje está muy bien... todo lo cuenta, le gusta mucho la alimentación que le dan acá. la cambiaron a la sede de arriba (carambolas 2) y al principio no me gustaba pero allá el espacio es muy bueno, son niños y niñas de la misma edad y ella está feliz allá.",Motivación,Todo el tiempo,,La forma como está organizado el día a día de los niños y las niñas en el Centro Infantil o Institución Educativa.,,Los momentos de alimentación de las niñas y los niños.,,,,,El trabajo colaborativo entre los agentes educativos/docentes.,,,,Fui muy honesto y conté lo que me pasó,Niños/niñas,no aplica,Acompañar a las familias para que apoyen el desarrollo y aprendizaje de los niños y las niñas.,,Una alimentación que me guste.,,,,,Exploración con la naturaleza.,,,,Sentirme seguro(a)  y protegido(a) por los adultos que me rodean.,,,,,Desarrollar su creatividad y recursividad.,Motivar la vinculación de las familias a las propuestas del Centro Infantil / Institución Educativa.,,,Crear o hacer parte de comunidades de aprendizaje con otros actores.,,,
12999015122,406582240,2021-09-27 11:21:08,2021-09-27 11:28:07,181.132.149.241,,,,,Sí,09/14/2021,ANTIOQUIA,Medellín,CI MANRIQUE LA HONDA,Bachillerato.,21 a 30 años,Mujer,"El niño está acá desde antes de los 2 años, al principio fue un poco difícil, a parte de estar trabajando acá en el centro infantil he podido acompañarlo. Era difícil trabajar por que el quería estar conmigo, pero ya se ha adaptado y se fue despegando de mi y pasa tiempo con los compañeros. Es gratificante ver sus avances, lo que ha logrado en su desarrollo, es un niño muy inteligente, alegre y colaborador.",Orgullo/Satisfacción,Todo el tiempo,,La forma como está organizado el día a día de los niños y las niñas en el Centro Infantil o Institución Educativa.,La vinculación de las familias a las propuestas educativas.,,,,"La calidad de las interacciones entre agentes educativos/docentes, familias, niños y niñas.",,,,,,Fui muy honesto y conté lo que me pasó,Niños/niñas,no aplica,Acompañar a las familias para que apoyen el desarrollo y aprendizaje de los niños y las niñas.,,,Objetos y cosas para crear y jugar.,,,,,Lugares donde me sienta tranquilo(a) y alegre.,,,Sentirme seguro(a)  y protegido(a) por los adultos que me rodean.,,,,Desarrollar sus capacidades socioemocionales.,Desarrollar su creatividad y recursividad.,Motivar la vinculación de las familias a las propuestas del Centro Infantil / Institución Educativa.,,,,,,
12998993722,406582240,2021-09-27 11:16:28,2021-09-27 11:20:58,181.132.149.241,,,,,Sí,09/16/2021,ANTIOQUIA,Medellín,CI ARANJUEZ BERLIN,Primaria.,21 a 30 años,Mujer,"La profe me ha dicho que la niña acá casi no toma sopas, mientras que en la casa yo veo que ella come de todo, quizá sea por que yo le doy la comida y acá deben comer solitos. La profe es muy linda y siempre me ha apoyado mucho con todas las cosas que se necesitan para la niña, he sentido que la profe es un apoyo muy grande y mi hija la quiere mucho.",Tristeza,Única vez,,,,Los momentos de alimentación de las niñas y los niños.,,,,,,,,,Fui muy honesto y conté lo que me pasó,Niños/niñas,no aplica,Acompañar a las familias para que apoyen el desarrollo y aprendizaje de los niños y las niñas.,Profes más afectivos,,Objetos y cosas para crear y jugar.,,,,,,,,Sentirme seguro(a)  y protegido(a) por los adultos que me rodean.,,,,,,,Actualizar sus conocimientos para innovar en sus prácticas.,,,,,
12998980127,406582240,2021-09-27 11:06:55,2021-09-27 11:16:18,181.132.149.241,,,,,Sí,09/14/2021,ANTIOQUIA,Medellín,CI JESUS AMIGO,Técnico.,31 a 40 años,Mujer,"mi historia está basada en el desarrollo y evolución que ha tenido mi hijo Emmanuel Barrientos desde que inició a asistir al programa Buen Comienzo. Al principio era un niño que dependía 100% de mi, usaba pañal, tomaba leche materna y tenía muchos resabios en cuanto a la alimentación. Ingresó al programa en el año 2020 y a la semana de haber iniciado ya era un niño totalmente independiente, comía solo, ya no usaba pañal, dejó la leche materna, se convirtió en un niño dedicado, cariñoso, comprometido y siento que en los momentos que se enferma y no puede ir al jardín, se desespera, es ansioso y se aburre, por que dice que la casa es aburrida por que no tiene los amiguitos y que en el centro infantil juega, se divierte, comparte con los amiguitos y las profes. Como madre diento impotencia al no poderlo llevar al jardín para cuidar de su salud.",Impotencia,De vez en cuando,,La forma como está organizado el día a día de los niños y las niñas en el Centro Infantil o Institución Educativa.,,,,,,El acompañamiento al tránsito educativo de las niñas y los niños.,,,,,Fui muy honesto y conté lo que me pasó,Niños/niñas,no aplica,Abordar la situación que narré con el apoyo de los conocimientos profesionales y personales de los agentes educativos.,Profes más afectivos,,,,,,,Lugares donde me sienta tranquilo(a) y alegre.,,,Sentirme seguro(a)  y protegido(a) por los adultos que me rodean.,,,,Desarrollar sus capacidades socioemocionales.,,,,,,,,
12991491864,406582240,2021-09-23 17:54:09,2021-09-23 18:00:17,191.95.157.146,,,,,Sí,09/23/2021,ANTIOQUIA,Medellín,CI GRANDES TALENTOS,Técnico.,31 a 40 años,Mujer,"Fue una situación difícil cuando nos dió Covid 19 ya que nos dió a todos en casa; tanto a Matías cómo a Mateo a Sara Sofía y a mí; todos estábamos aislados y apesar que yo también tuve síntomas debía pararme a atender las labores del hogar, alimentación y cuidar a mis hijos. Las compañeras de acá del Centro Infantil siempre nos llamaron y fueron muy atentas y pendientes de nosotros, este gesto me subió mucho el ánimo.",Motivación,Única vez,,,,,,,"La calidad de las interacciones entre agentes educativos/docentes, familias, niños y niñas.",,El trabajo colaborativo entre los agentes educativos/docentes.,,,La garantía de derechos de los niños y las niñas,Fui muy honesto y conté lo que me pasó,Familias y otras personas significativas,N/A,Abordar la situación que narré con el apoyo de los conocimientos profesionales y personales de los agentes educativos.,Profes más afectivos,,,,,Más momentos de juego y diversión.,,,,,Sentirme seguro(a)  y protegido(a) por los adultos que me rodean.,,,,Desarrollar sus capacidades socioemocionales.,,Motivar la vinculación de las familias a las propuestas del Centro Infantil / Institución Educativa.,,,Crear o hacer parte de comunidades de aprendizaje con otros actores.,,,
12983764862,406582240,2021-09-21 08:30:47,2021-09-21 08:41:31,181.206.82.36,,,,,Sí,9/08/2021,ANTIOQUIA,Medellín,CI DAME LA MANO,Primaria.,31 a 40 años,Mujer,"A mi me gusta acá porque acá es muy bueno, porque alimenta los niños, tiene mucha paciencia y aquí hay mucha gente que los quiere. A él le gusta que le cuenten cuentos y a él le gusta, esta semana me mandaron una foto con él, en la primera pantallita estaba la profesora con él leyendo el cuento.",Tranquilidad,Todo el tiempo,,,,Los momentos de alimentación de las niñas y los niños.,El desempeño de los agentes educativos/docentes y sus prácticas.,,"La calidad de las interacciones entre agentes educativos/docentes, familias, niños y niñas.",,,,,,Fui muy honesto y conté lo que me pasó,Niños/niñas,N/A,Acompañar a las familias para que apoyen el desarrollo y aprendizaje de los niños y las niñas.,Profes más afectivos,Una alimentación que me guste.,,,,,,,,Compartir (liderar) experiencias con los demás.,,,,,Desarrollar sus capacidades socioemocionales.,Desarrollar su creatividad y recursividad.,,,,,"Identificar situaciones problemáticas en el Centro Infantil / Institución Educativa y generar soluciones creativas, de manera colaborativa e interdisciplinaria",,
12981999047,406582240,2021-09-20 15:51:53,2021-09-20 16:03:56,181.236.214.112,,,,,Sí,09/21/2021,ANTIOQUIA,Medellín,CI MANRIQUE VERSALLES,Profesional.,31 a 40 años,Mujer,"Está historia es bastante interesante y bonita cuando yo tenía mi hijo de dos años me encontraba laborando, pues siempre hemos sido mi hijo y yo solos no tenía quién me lo recogiera del jardín para poder trabajar y sostenernos; pero gracias al programa PP, pude culminar mi ciclo laboral y así mismo tener confianza en quienes lo iban a cuidar, ya que tenía acompañamiento y nutrición, a partir de las 7:00 de la noche lo recogía y nos íbamos para la casa.",Alegría,Única vez,,,,Los momentos de alimentación de las niñas y los niños.,El desempeño de los agentes educativos/docentes y sus prácticas.,,,,,,,La garantía de derechos de los niños y las niñas,Fui muy honesto y conté lo que me pasó,Agentes educativos/docentes,N/A,Potenciar el desarrollo de los niños y las niñas.,Profes más afectivos,,Objetos y cosas para crear y jugar.,,,,,,,,,Contar con ambientes para disfrutar,,,,Desarrollar su creatividad y recursividad.,Motivar la vinculación de las familias a las propuestas del Centro Infantil / Institución Educativa.,,,,"Identificar situaciones problemáticas en el Centro Infantil / Institución Educativa y generar soluciones creativas, de manera colaborativa e interdisciplinaria",,
12976568491,406582240,2021-09-17 16:47:54,2021-09-17 16:55:14,181.236.214.118,,,,,Sí,09/17/2021,ANTIOQUIA,Medellín,CI POR UN NUEVO SANTADER,Técnico.,21 a 30 años,Mujer,"Emily Antonia entro al centro infantil cuando tenía 2 años de edad, al ingresar al centro infantil fue algo nuevo para ella ya que nunca había asistido a un centro infantil pero fue de mucha ayuda para ella ya que era muy tímida, avanzó mucho en su lenguaje ya que hablaba muy enredado. Para mí como mamá que mi hija haya alcanzado esos logros como relacionarse u aclarar su lenguaje es algo muy gratificante. ",Orgullo/Satisfacción,Todo el tiempo,,,,,El desempeño de los agentes educativos/docentes y sus prácticas.,La disposición intencionada de los ambientes pedagógicos y otros espacios.,"La calidad de las interacciones entre agentes educativos/docentes, familias, niños y niñas.",,,,,,Fui muy honesto y conté lo que me pasó,Niños/niñas,N/A,Potenciar el desarrollo de los niños y las niñas.,,Una alimentación que me guste.,,,,,,Lugares donde me sienta tranquilo(a) y alegre.,,,Sentirme seguro(a)  y protegido(a) por los adultos que me rodean.,,,,Desarrollar sus capacidades socioemocionales.,,,Actualizar sus conocimientos para innovar en sus prácticas.,,Crear o hacer parte de comunidades de aprendizaje con otros actores.,,,
12973666833,406582240,2021-09-16 18:17:22,2021-09-16 18:22:45,191.95.157.80,,,,,Sí,09/16/2021,ANTIOQUIA,Medellín,CI EXPLORADORES DE SUEÑOS MIRANDA,Bachillerato.,31 a 40 años,Mujer,La experiencia que más recuerdo fue cuando mi hijo aprendió a pronunciar más mejor las palabras ya que gracias a las docentes y a los compañeritos ha sido más fácil el aprendizaje del habla ya que presenta algunos problemas en ella. ,Motivación,Todo el tiempo,,La forma como está organizado el día a día de los niños y las niñas en el Centro Infantil o Institución Educativa.,La vinculación de las familias a las propuestas educativas.,,El desempeño de los agentes educativos/docentes y sus prácticas.,,,,,,,,Fui muy honesto y conté lo que me pasó,Niños/niñas,N/A,Abordar la situación que narré con el apoyo de los conocimientos profesionales y personales de los agentes educativos.,,,,Que mi familia me acompañe más.,,Más momentos de juego y diversión.,Exploración con la naturaleza.,,,,,,,,Desarrollar sus capacidades socioemocionales.,Desarrollar su creatividad y recursividad.,,Actualizar sus conocimientos para innovar en sus prácticas.,,,,,
