respondent_id,collector_id,date_created,date_modified,ip_address,email_address,first_name,last_name,custom_1,"Autorizo a United Way Colombia a realizar toma de fotografías, videos o entrevistas en las que aparezco y cedo el uso de mi imagen y registros de las actividades en las cuales participé, para los fines contemplado en la Política de Privacidad para el Tratamiento de Datos Personales de dicha entidad, en la cual se incluyen, entre otras, la realización de piezas de comunicación interna y externa. Como titular de los datos podré, en cualquier momento, solicitar que la información sea modificada, actualizada o retirada de las bases de datos de United Way Colombia. Lo invitamos a conocer los detalles en: https://bit.ly/2O4diuQ",Fecha de implementación,Departamento,Municipio,Nombre del Centro Infantil,Tiempo que lleva el niño o la niña en el centro infantil/institución educativa:,Edad del niño/niña,Género del niño/niña,Descripción de la historia narrada por el niño/niña a partir del dibujo realizado.,Adjunta el archivo del dibujo escaneado del niño/niña:,Escribe el nombre asignado por el niño/niña al dibujo realizado:,Registra situaciones y comportamientos relevantes del niño/niña durante la experiencia:,Registra las frases textuales o la historia que narra el niño/niña acerca del dibujo:,¿Qué emoción se evidencia en lo que narra el niño/niña?,¿Con qué frecuencia sucede lo que narra el niño/niña?,¿Con cuáles de las siguientes situaciones se relaciona lo que narra el niño/niña?,La forma como está organizado el día a día de los niños y las niñas en el Centro Infantil o Institución Educativa.,La vinculación de las familias a las propuestas educativas.,Los momentos de alimentación de las niñas y los niños.,El desempeño de los agentes educativos/docentes y sus prácticas.,La disposición intencionada de los ambientes pedagógicos y otros espacios.,"La calidad de las interacciones entre agentes educativos/docentes, familias, niños y niñas.",El acompañamiento al tránsito educativo de las niñas y los niños.,El trabajo colaborativo entre los agentes educativos/docentes.,La articulación entre la propuesta pedagógica y el proyecto educativo institucional.,"Gestión socioemocional de los agentes educativos/docentes, familias, niños y niñas.",La garantía de derechos de los niños y las niñas,¿Quiénes son los actores principales en la narrativa del niño/niña?,"Si en la anterior pregunta tu respuesta fue ""Otro"", escribe cuál.","Qué le gustaría al niño/niña vivir en el centro infantil/institución educativaElige 3 opciones,",Una alimentación que me guste.,Objetos y cosas para crear y jugar.,Que mi familia me acompañe más.,Poder hablar y preguntar más.,Más momentos de juego y diversión.,Exploración con la naturaleza.,Lugares donde me sienta tranquilo(a) y alegre.,Experiencias que me sorprendan y con las que puedo aprender.,Compartir (liderar) experiencias con los demás.,Sentirme seguro(a) y protegido(a) por los adultos que me rodean.,Contar con ambientes para disfrutar,Otro (especifique)
13152696697,411664300,2021-11-24 10:46:12,2021-11-24 10:51:07,200.24.36.122,,,,,Sí,11/24/2021,ANTIOQUIA,Medellín,Jardín Infantil Buen Comienzo Lusitania,2 años,"Entre 2,0 y 3,0 años",Niña,"Me gusta del jardín los animales, el gallo. Jugar.",,El Gallo,La niña hace relación al trabajo en la huerta y los animales de granja,"Jugar con los amigos y los animales. Vacas, caballos, gallos. Comer. Cantar",Alegría,Todo el tiempo,,,,,El desempeño de los agentes educativos/docentes y sus prácticas.,,,,,,,,Niños/niñas,NA,,,Objetos y cosas para crear y jugar.,,,,,,,,,,
13152683773,411664300,2021-11-24 10:42:28,2021-11-24 10:45:59,200.24.36.122,,,,,Sí,11/24/2021,ANTIOQUIA,Medellín,Jardín Infantil Buen Comienzo Lusitania,2 años,"Entre 2,0 y 3,0 años",Niña,En el jardín jugamos y cantamos. Hacemos carita feliz,,Mi Casita,Esta niña está trabajando las emociones y menciona que hacen caritas y le gusta la carita feliz.,Hice la carita feliz. Me gusta mi casa. Jugar,Alegría,De vez en cuando,,,,,El desempeño de los agentes educativos/docentes y sus prácticas.,,,,,,,,Niños/niñas,NA,,,,Que mi familia me acompañe más.,,,,,,,,,
13152673494,411664300,2021-11-24 10:32:51,2021-11-24 10:42:00,200.24.36.122,,,,,Sí,11/24/2021,ANTIOQUIA,Medellín,Jardín Infantil Buen Comienzo Lusitania,1 año,"Entre 2,0 y 3,0 años",Niño,"En el jardín hay animales, allá abajo en el parque, la manga. Culebritas",,Una Culebrita,El niño hace referencia a los espacios verdes y la zona de siembra.,"En el jardín hay animales. Comemos. Hablo con la profe, los amigos.",Alegría,Todo el tiempo,,La forma como está organizado el día a día de los niños y las niñas en el Centro Infantil o Institución Educativa.,,,,,,,,,,,Niños/niñas,NA,,,Objetos y cosas para crear y jugar.,Que mi familia me acompañe más.,,,Exploración con la naturaleza.,,,,,,
13152649548,411664300,2021-11-24 10:27:57,2021-11-24 10:32:36,200.24.36.122,,,,,Sí,11/24/2021,ANTIOQUIA,Medellín,Jardín Infantil Buen Comienzo Lusitania,2 años,"Entre 3,1 y 4,0 años",Niña,A la profe le gusta cantar y jugar,,Un Muñeco,Hace referencia a los momentos de alimentación y a las señoras de blanco que sirven los alimentos.,En el jardín hay juguetes y me gusta ir a la casa. Comemos lo que da la señora de blanco.,Alegría,Todo el tiempo,,,,Los momentos de alimentación de las niñas y los niños.,,,,,,,,,Niños/niñas,NA,,Una alimentación que me guste.,,,,,Exploración con la naturaleza.,,,,,,
13152632782,411664300,2021-11-24 10:14:48,2021-11-24 10:26:19,200.24.36.122,,,,,Sí,11/24/2021,ANTIOQUIA,Medellín,Jardín Infantil Buen Comienzo Lusitania,2 años,"Entre 2,0 y 3,0 años",Niño,En el jardín jugamos allá donde comemos en platos verdes. Me gusta juga a lisar.,,Este es Jerónimo,Reconoce la labor de las agentes educativas: ellas trabajan y le gustan los zapatos. Identifica los momentos de alimentación y el espacio donde lo hacen.,En e jardín comemos. Jugamos. Jugar a lisar. La Profe Trabaja.  A la profe le gustan los zapatos.,Tranquilidad,Todo el tiempo,,La forma como está organizado el día a día de los niños y las niñas en el Centro Infantil o Institución Educativa.,,,,,,,,,,,Niños/niñas,NA,,,,,,Más momentos de juego y diversión.,Exploración con la naturaleza.,,,Compartir (liderar) experiencias con los demás.,,,
13141688426,411664300,2021-11-19 15:53:21,2021-11-19 16:00:57,200.24.36.122,,,,,Sí,11/19/2021,ANTIOQUIA,Medellín,Jardín Infantil Buen Comienzo Lusitania,2 años,"Entre 3,1 y 4,0 años",Niño,El niño expresa que le gusta ayudar abriendo las ventanas y recogiendo los juegos.,,La Manzana,"Demuestra gran interés por colaborar y por planta baja que llama como ""el jardín"". Este espacio para él es lindo y divertido.","Me gusta abrir la ventanas. Ayudar con los juguetes. Me gusta el jardín de abajo. Me gusta jugar con las tareas de animales, frutas y transportes.",Alegría,Todo el tiempo,,,,,,La disposición intencionada de los ambientes pedagógicos y otros espacios.,"La calidad de las interacciones entre agentes educativos/docentes, familias, niños y niñas.",,,,,,Niños/niñas,NA,,,Objetos y cosas para crear y jugar.,Que mi familia me acompañe más.,,,Exploración con la naturaleza.,,,,,,
13141669086,411664300,2021-11-19 15:42:52,2021-11-19 15:52:32,200.24.36.122,,,,,Sí,11/19/2021,ANTIOQUIA,Medellín,Jardín Infantil Buen Comienzo Lusitania,3 años,"Entre 2,0 y 3,0 años",Niño,"La historia está relacionada con la alimentación, el disfrute de las frutas en compañía de la mamá. ",,Mi mamá comiendo manzanas,El niño se centra en los alimentos y especialmente en las frutas que le gustan a él y su mamá. De momentos de siembra de los alimentos y como los hacen en la cocina.,Dibujé a mi mamá comiendo manzana. Me gustan las manzanas. Sembrar y jugar a la cocina.,Motivación,De vez en cuando,,,La vinculación de las familias a las propuestas educativas.,Los momentos de alimentación de las niñas y los niños.,,La disposición intencionada de los ambientes pedagógicos y otros espacios.,,,,,,,Niños/niñas,NA,,Una alimentación que me guste.,Objetos y cosas para crear y jugar.,Que mi familia me acompañe más.,,,,,,,,,
13141640652,411664300,2021-11-19 15:33:11,2021-11-19 15:40:33,200.24.36.122,,,,,Sí,11/19/2021,ANTIOQUIA,Medellín,Jardín Infantil Buen Comienzo Lusitania,1 año,"Entre 3,1 y 4,0 años",Niña,"Las profes no hacen nada, nos cantan, juegan con las fichas, con las cosas de la cocina, con legos.",,Mi mamá y yo,"Para esta niña es importante todo el componente pedagógico y los materiales didácticos que utilizan, pues los tiene muy presentes. En su narrativa menciona los elementos que se disponen en las salas en los laboratorios móviles. ","Hacemos círculos. Dibujamos y pintamos. Aprendemos canciones. Sembramos tomates, bananos y manzanas. Jugamos con legos. Sacamos con Minlet las fichas. Jugamos con las cosas de la cocina. Jugamos con las cosas que trae la profe.",Alegría,Todo el tiempo,La apropiación y uso de herramientas tecnológicas.,,,,El desempeño de los agentes educativos/docentes y sus prácticas.,La disposición intencionada de los ambientes pedagógicos y otros espacios.,,,,,,,Niños/niñas,NA,,,Objetos y cosas para crear y jugar.,Que mi familia me acompañe más.,,Más momentos de juego y diversión.,,,,,,,
13141622113,411664300,2021-11-19 15:22:55,2021-11-19 15:32:47,200.24.36.122,,,,,Sí,11/19/2021,ANTIOQUIA,Medellín,Otro,3 años,"Entre 3,1 y 4,0 años",Niño,"Me gusta venir al jardín y los dinosaurios. Ya no hay, solo había uno y se perdió.",,Mis amigos,"Para este niño es muy importante su relación con la profe Sofía, la menciona en varias ocasiones y destaca las actividades que realiza con ella.",Las profes me dan hojas para cosas importantes. Me gusta hablar con la familia y la profe Sofia. Me dice muchas cosas con plastilina.,Tranquilidad,Todo el tiempo,,,,,El desempeño de los agentes educativos/docentes y sus prácticas.,,,,,,,,Agentes educativos/docentes,NA,,,,,,Más momentos de juego y diversión.,Exploración con la naturaleza.,,,Compartir (liderar) experiencias con los demás.,,,
13141597320,411664300,2021-11-19 15:14:46,2021-11-19 15:22:30,200.24.36.122,,,,,Sí,11/19/2021,ANTIOQUIA,Medellín,Jardín Infantil Buen Comienzo Lusitania,3 años,"Entre 4,1 y 5,0 años",Niña,En el jardín se hacen experiencias.,,Lo que hacemos en el jardín,"La niña narró casi todos los momentos que vive en el jardín desde el momento que ingresa, hasta que se va. Cuenta con detalle los momentos de alimentación, salidas al parque, actividades pedagógicas y recreativas.",en el jardín comemos la fruta y el desayuno. Descansamos y salimos al recreo. Pintamos cuando queremos o cuando la  dice la profe. Hacen las emociones. Hacen experiencias. ,Alegría,Todo el tiempo,,La forma como está organizado el día a día de los niños y las niñas en el Centro Infantil o Institución Educativa.,,,,,,,,,,,Niños/niñas,NA,,,Objetos y cosas para crear y jugar.,,,Más momentos de juego y diversión.,,,Experiencias que me sorprendan y con las que puedo aprender.,,,,
