respondent_id,collector_id,date_created,date_modified,ip_address,email_address,first_name,last_name,custom_1,"Autorizo a United Way Colombia a realizar toma de fotografías, videos o entrevistas en las que aparezco y cedo el uso de mi imagen y registros de las actividades en las cuales participé, para los fines contemplado en la Política de Privacidad para el Tratamiento de Datos Personales de dicha entidad, en la cual se incluyen, entre otras, la realización de piezas de comunicación interna y externa. Como titular de los datos podré, en cualquier momento, solicitar que la información sea modificada, actualizada o retirada de las bases de datos de United Way Colombia. Lo invitamos a conocer los detalles en: https://bit.ly/2O4diuQ",Fecha de implementación,Departamento,Municipio,Nombre del Centro Infantil,Tiempo que lleva el niño o la niña en el centro infantil/institución educativa:,Edad del niño/niña,Género del niño/niña,Descripción de la historia narrada por el niño/niña a partir del dibujo realizado.,Adjunta el archivo del dibujo escaneado del niño/niña:,Escribe el nombre asignado por el niño/niña al dibujo realizado:,Registra situaciones y comportamientos relevantes del niño/niña durante la experiencia:,Registra las frases textuales o la historia que narra el niño/niña acerca del dibujo:,¿Qué emoción se evidencia en lo que narra el niño/niña?,¿Con qué frecuencia sucede lo que narra el niño/niña?,¿Con cuáles de las siguientes situaciones se relaciona lo que narra el niño/niña?,La forma como está organizado el día a día de los niños y las niñas en el Centro Infantil o Institución Educativa.,La vinculación de las familias a las propuestas educativas.,Los momentos de alimentación de las niñas y los niños.,El desempeño de los agentes educativos/docentes y sus prácticas.,La disposición intencionada de los ambientes pedagógicos y otros espacios.,"La calidad de las interacciones entre agentes educativos/docentes, familias, niños y niñas.",El acompañamiento al tránsito educativo de las niñas y los niños.,El trabajo colaborativo entre los agentes educativos/docentes.,La articulación entre la propuesta pedagógica y el proyecto educativo institucional.,"Gestión socioemocional de los agentes educativos/docentes, familias, niños y niñas.",La garantía de derechos de los niños y las niñas,¿Quiénes son los actores principales en la narrativa del niño/niña?,"Si en la anterior pregunta tu respuesta fue ""Otro"", escribe cuál.","Qué le gustaría al niño/niña vivir en el centro infantil/institución educativaElige 3 opciones,",Una alimentación que me guste.,Objetos y cosas para crear y jugar.,Que mi familia me acompañe más.,Poder hablar y preguntar más.,Más momentos de juego y diversión.,Exploración con la naturaleza.,Lugares donde me sienta tranquilo(a) y alegre.,Experiencias que me sorprendan y con las que puedo aprender.,Compartir (liderar) experiencias con los demás.,Sentirme seguro(a) y protegido(a) por los adultos que me rodean.,Contar con ambientes para disfrutar,Otro (especifique)
12999274700,408912345,2021-09-27 12:56:46,2021-09-27 13:02:18,181.132.149.241,,,,,Sí,09/15/2021,ANTIOQUIA,Medellín,CI SUSANITA DIAZ,2 años,"Entre 4,1 y 5,0 años",Niña,La niña se refiere a la familia y describe situaciones de la cotidianidad con ellos.,IMG_20210915_145907.jpg,mi familia,"La niña se muestra curiosa por conocer a la diseñadora de experiencias, manifestando que nunca la había visto, sin embargo, se muestra dispuesta a realizar la actividad y dibujar a su familia.","Me gusta dibujar a mi mamá, a mi papá por que son mi familia y a mi abuela. Mi papá usa chancletas negras y blancas y voy a dibujar a mi papá jugando conmigo. Fuimos a una finca y había una piscina grande pero no me ahogué por que Emily (prima) me prestó unos manguitos para ponérmelos en los brazos y mi mamá se asustó pero no me ahogué. También fuimos al centro comercial pero mi mamá se quedó en la casa.",Alegría,De vez en cuando,,,,,,,"La calidad de las interacciones entre agentes educativos/docentes, familias, niños y niñas.",,,,,,Familias y otras personas significativas,no aplica,,,Objetos y cosas para crear y jugar.,Que mi familia me acompañe más.,,Más momentos de juego y diversión.,,,,,,,
12999259029,408912345,2021-09-27 12:50:25,2021-09-27 12:56:25,181.132.149.241,,,,,Sí,09/14/2021,ANTIOQUIA,Medellín,CI MANRIQUE LA HONDA,2 años,"Entre 4,1 y 5,0 años",Niño,"El niño manifiesta que dibujará diferentes cosas y personas que le gustan del centro infantil, así como juegos comunes con sus amiguitos.",IMG_20210914_112122.jpg,Yo no sé escribir esas cosas pero le diré a mi mamá que lo escriba por mí en la casa.,"El niño se muestra un poco tímido al inicio, no entiende bien la indicación, sin embargo a medida que avanza el ejercicio, el niño inicia a dibujar diversos elementos, solicita a la diseñadora de experiencias que orienta la narrativa que le ayude pasándole los crayones que el indique.","Me gusta dibujar círculos, caritas felices y estar con los niños. Me gusta jugar con mi amigo Juan Andrés, nos gusta jugar al ""patiado"", uno se pega en la pierna y el otro corre, peor la profe nos regaña por que nos aporriamos.",Alegría,De vez en cuando,,,,,El desempeño de los agentes educativos/docentes y sus prácticas.,,"La calidad de las interacciones entre agentes educativos/docentes, familias, niños y niñas.",,,,,,Niños/niñas,no aplica,,,Objetos y cosas para crear y jugar.,,,Más momentos de juego y diversión.,,,,,,,
12999242478,408912345,2021-09-27 12:43:27,2021-09-27 12:50:17,181.132.149.241,,,,,Sí,09/10/2021,ANTIOQUIA,Medellín,CI SER Y HACER CARAMBOLAS,1 año,"Entre 3,1 y 4,0 años",Niña,La niña manifiesta que dibujará las cosas que le gustan del jardín infantil.,carambolas.png,Te dibujé a ti (diseñadora de experiencias) y a mi profe.,"La niña se muestra dispuesta a realizar el dibujo, siente curiosidad por los diferentes materiales en la mesa (colores, crayones, marcadores, lapiceros) así que explora los trazos con cada uno de ellos.","Voy a dibujar un muñequito. Me gustan las tareas que hacemos acá, me gusta pintar solecitos y una muñeca.",Tranquilidad,De vez en cuando,,,,,,La disposición intencionada de los ambientes pedagógicos y otros espacios.,"La calidad de las interacciones entre agentes educativos/docentes, familias, niños y niñas.",,,,,,Otro,Agrega a su dibujo a la diseñadora de experiencias quién orienta la toma de la narrativa,,,Objetos y cosas para crear y jugar.,,,Más momentos de juego y diversión.,,,,,Sentirme seguro(a) y protegido(a) por los adultos que me rodean.,,
12999222295,408912345,2021-09-27 12:32:25,2021-09-27 12:42:28,181.132.149.241,,,,,Sí,09/06/2021,ANTIOQUIA,Medellín,CI JESUS AMIGO,3 años,"Entre 4,1 y 5,0 años",Niña,"La niña informa que dibujará un río de muchos colores, así como una ciudad en dónde viven los profes.",TapScanner 06-09-2021-11.18.pdf,"Hice un río y los profes. Comparto todo con los amiguitos, no peleo con los amiguitos y juego con ellos a la cocinita.","La niña se muestra tranquila, dispuesta a realizar la actividad, además habla de diversos temas durante el ejercicio. Se ve interrumpida en repetidas ocasiones por otros niños o niñas, por lo que su historia habla de diversas situaciones.","Cuando sea grande voy a ser veterinaria, estoy dibujando un río por que me gustan mucho, acá es donde viven los profes, me gustan los colores rosa, azul y verde. Los profes no viven en el río sino en sus casa, los profes se van caminando por el río hay mucho trancón. Me gusta jugar con Maria Antonia y Salomé, son mis mejores amigar. También tengo que dibujar las casas, la calle, las luces y la ciudad. Me gusta jugar con las muñecas, con los niños. con los armatodos, compartir, no pelear o aporriar a los amiguitos, jugar con los bebés. Los profes nos mandan al baño, a comer, a hacer chichi, las tareas, me gusta venir al jardín a jugar con los amiguitos, me gusta todo acá y yo como muy rápido, es muy saludable la ensalada y el arroz con carne",Alegría,De vez en cuando,,La forma como está organizado el día a día de los niños y las niñas en el Centro Infantil o Institución Educativa.,,Los momentos de alimentación de las niñas y los niños.,,,"La calidad de las interacciones entre agentes educativos/docentes, familias, niños y niñas.",,,,,,Agentes educativos/docentes,no aplica,,,Objetos y cosas para crear y jugar.,,,Más momentos de juego y diversión.,,,,Compartir (liderar) experiencias con los demás.,,,
12991519663,408912345,2021-09-23 18:03:34,2021-09-23 18:11:41,191.95.157.146,,,,,Sí,09/23/2021,ANTIOQUIA,Medellín,CI GRANDES TALENTOS,2 años,"Entre 4,1 y 5,0 años",Niño,Representa los juegos y juguetes que más le gustan.,Narrativa CI GRANDES TALENTOS.pdf,El trapoli,"Dispuesto a compartir, curioso, hablaba de temas diversos.",Jugando con mis amiguitos en el trampolín y con mi hermanito.,Alegría,Todo el tiempo,,La forma como está organizado el día a día de los niños y las niñas en el Centro Infantil o Institución Educativa.,,,,La disposición intencionada de los ambientes pedagógicos y otros espacios.,"La calidad de las interacciones entre agentes educativos/docentes, familias, niños y niñas.",,,,,,Niños/niñas,N/A,Profes más afectivos,,Objetos y cosas para crear y jugar.,,,,,Lugares donde me sienta tranquilo(a) y alegre.,,,,,
12988984779,408912345,2021-09-22 22:20:43,2021-09-22 22:34:25,191.95.157.146,,,,,Sí,9/08/2021,ANTIOQUIA,Medellín,CI DAME LA MANO,2 años,"Entre 4,1 y 5,0 años",Niña,"Mi profe haciendo la asamblea, están acostados por que tienen calor, yo estoy haciendo a mi amigo Samuel, él es el que siempre nos maltrata y también a Dilan y él nos saca la lengua. Este es mi amigo Jero, yo siempre juego con él, él siempre me molesta con el juego del embarazo y a mi no me gusta ese juego.",Narrativa CI Dame la mano.pdf,Alcen la mano para poder acostarse en la asamblea para que te relajes.,"Una niña muy dispuesta para dibujar, le encanta pintar y conversar, se ve extrovertida, tranquila y con confianza en sí misma.","Me gusta mucho estar en el Centro Infantil porque me encanta la comida, cómo arroz, ensalada, pan y también le encanta mucho jugar con mis amigos.",Alegría,Todo el tiempo,,La forma como está organizado el día a día de los niños y las niñas en el Centro Infantil o Institución Educativa.,,,El desempeño de los agentes educativos/docentes y sus prácticas.,,"La calidad de las interacciones entre agentes educativos/docentes, familias, niños y niñas.",,,,,,Niños/niñas,N/A,,,Objetos y cosas para crear y jugar.,,,Más momentos de juego y diversión.,,,,Compartir (liderar) experiencias con los demás.,,,
12982357832,408912345,2021-09-20 18:50:42,2021-09-20 19:01:34,191.95.157.112,,,,,Sí,09/20/2021,ANTIOQUIA,Medellín,CI MANRIQUE VERSALLES,3 años,"Entre 5,1 y 6,0 años",Niño,Es el dibujo de la playa y Sonic juega con los amigos.,Narrativa CI MANRIQUE VERSALLES.pdf,Sonic,Se da la indicación pero el prefiere dibujar la playa ya que desea visitar ese lugar ,"Sonic está jugando con Tails, esta es la tierra, el agua, un árbol de cocos y el cielo.",Alegría,Única vez,,,,,,,,,,,,La garantía de derechos de los niños y las niñas,Otro,Dibujo animado,,Una alimentación que me guste.,Objetos y cosas para crear y jugar.,,,,,,,,,,"Peluches de ""Chaotix"""
12976517582,408912345,2021-09-17 15:47:20,2021-09-17 16:27:47,181.236.214.118,,,,,Sí,09/17/2021,ANTIOQUIA,Medellín,CI POR UN NUEVO SANTANDER,3 años,"Entre 4,1 y 5,0 años",Niño,Voy a dibujar un perro para regalárselo a María Alejandra. Solo nos saludamos ella no juega conmigo solo con las niñas y me gusta ir al parque a jugar con mis amiguitos y divertirme.,Narrativa Por un nuevo Santander.pdf,Dibujo de nuevo Santander para los amigos de José Luis Mendoza Martínez,Muy dispuesto y conversador.,"Este soy yo, los frutos rojos, los frutos rojos son frutos y otros son gomitas.",Alegría,Todo el tiempo,,La forma como está organizado el día a día de los niños y las niñas en el Centro Infantil o Institución Educativa.,,,,La disposición intencionada de los ambientes pedagógicos y otros espacios.,"La calidad de las interacciones entre agentes educativos/docentes, familias, niños y niñas.",,,,,,Niños/niñas,N/A,,Una alimentación que me guste.,Objetos y cosas para crear y jugar.,,,,,,,,,,Un salto de piscina con tiburones.
12973699005,408912345,2021-09-16 18:27:48,2021-09-16 18:36:11,191.95.157.80,,,,,Sí,09/16/2021,ANTIOQUIA,Medellín,CI EXPLORADORES DE SUEÑOS MIRANDA,3 años,"Entre 4,1 y 5,0 años",Niña,"Juego con todos, me gusta jugar con todos con amiguitas, yo pinto así allá a la casa",Narrativaexploradores.pdf,Dinosaurios,"Una niña tranquila, con ánimo por dibujar.","Un dinosaurio, las patas, el cuello, un dinosaurio y un dinosaurio",Motivación,Todo el tiempo,,La forma como está organizado el día a día de los niños y las niñas en el Centro Infantil o Institución Educativa.,,,,La disposición intencionada de los ambientes pedagógicos y otros espacios.,"La calidad de las interacciones entre agentes educativos/docentes, familias, niños y niñas.",,,,,,Niños/niñas,N/A,,,Objetos y cosas para crear y jugar.,,,Más momentos de juego y diversión.,,,Experiencias que me sorprendan y con las que puedo aprender.,,,,
12967582456,408912345,2021-09-14 20:12:39,2021-09-14 20:26:32,191.95.157.80,,,,,Sí,09/06/2021,ANTIOQUIA,Medellín,CI JESUS AMIGO ZONA 30,2 años,"Entre 5,1 y 6,0 años",Niño,"Yo juego rápido con niños y niñas, jugamos a la granja a nadar, a todas las cosas. Estamos haciendo un juego, el juego se llama Maikrasgr: tienes que ir consiguiendo cosas para hacer cosas y hacer granjas de animales y después conseguir comida de animales para darle a los animales.",Narrativa CI Zona 30.pdf,Maikrasgr,"Le encanta dibujar, muy atento a los detalles del dibujo.","40, 60 mil millones de millones, así juego con Dilan. Siento que mi corazón está rebotando, me emociono cuando juego con Dilan. Dilan es mi amigo y mi compañero es de todo.",Alegría,Todo el tiempo,,,,,,La disposición intencionada de los ambientes pedagógicos y otros espacios.,"La calidad de las interacciones entre agentes educativos/docentes, familias, niños y niñas.",,,,,,Niños/niñas,N/A,Profes más afectivos,,,,,Más momentos de juego y diversión.,,Lugares donde me sienta tranquilo(a) y alegre.,,,,,
