respondent_id,collector_id,date_created,date_modified,ip_address,email_address,first_name,last_name,custom_1,"Autorizo a United Way Colombia a realizar toma de fotografías, videos o entrevistas en las que aparezco y cedo el uso de mi imagen y registros de las actividades en las cuales participé, para los fines contemplado en la Política de Privacidad para el Tratamiento de Datos Personales de dicha entidad, en la cual se incluyen, entre otras, la realización de piezas de comunicación interna y externa. Como titular de los datos podré, en cualquier momento, solicitar que la información sea modificada, actualizada o retirada de las bases de datos de United Way Colombia. Lo invitamos a conocer los detalles en: https://bit.ly/2O4diuQ",DEPARTAMENTO,NOMBRE DEL CENTRO EDUCATIVO,"Responde una de estas tres preguntas, la que prefieras responder:Cuéntanos una situación que haya sucedido en tu institución educativa que te haya hecho pensar sobre tu futuro.Cuéntanos una situación que haya sucedido en tu institución educativa que te haya impactado particularmente.Cuéntanos una situación que haya sucedido en tu institución educativa que te haya hecho pensar cómo quieres que termine tu año escolar.Describe la situación, y lo que pasó.Comparte tu experiencia / tu ejemplo aquí:",La historia que contaste te genera.,La experiencia que compartiste es,Cuando sucedió,Por cuanto tiempo,¿Qué tan común?,¿Quién debe saber esta historia?  ,¿En cuantos colegios has estado?,Temas,Tu historia describe algo: ,Sentí que tuve,La historia involucra,Esta historia me enseñó,La lección impacto en,Es importante,¿Cuál es tu genero? 
12651891893,401577030,2021-05-12 14:33:57,2021-05-12 14:39:59,201.185.4.141,,,,,Sí,VALLE DEL CAUCA,IE Santa Librada,la situación que me hizo pensar sobre mi futuro fue que e tenido muchos compañeros con los cuales compartí demasiadas experiencias y momentos que al final terminaron mal por su expulsión de la institución ,Motivación,Una historia que escuchaste por ahí,Hace más de dos años,Por algún tiempo,Común,Los profesores y las directivas,En 2,Ninguna de los anteriores,Pasa frecuentemente,Absolutamente ningún control,Amigos,Comprender la realidad de las cosas,Entender lo que sucede a tu alrededor,Comprender a los otros,Mujer
12620583838,401577030,2021-04-30 17:21:42,2021-04-30 17:28:38,181.129.173.220,,,,,No,VALLE DEL CAUCA,IE Santa Librada,"no hacia nada y era muy canson, yo molestaba mucho hasta que un dia llamaron a mis padres y le dijeron que si yo no cambiaba me iban a echar del colegio y desde ay e ido mejorando ",Tranquilidad,Experiencia personal,Hace dos años,Por mucho tiempo,Común,Nadie,En más de 4,Educación y aprendizaje,Pasa frecuentemente,Control,Amigos,Comprender la realidad de las cosas,Oportunidades futuras,Ser el mejor,Hombre
12616854241,401577030,2021-04-29 15:08:35,2021-04-29 15:21:08,190.90.24.131,,,,,Sí,VALLE DEL CAUCA,IE Jose Holguín Garces,ami me gustaría terminar el año con buenas calificaciones buenas y se que con fe lo lograre,Motivación,Experiencia personal,Hace un año,Por mucho tiempo,Pasa todo el tiempo,Nadie,En 2,Educación y aprendizaje,Completamente novedoso,Total control,A mi,Comprender la realidad de las cosas,Oportunidades futuras,Comprender a los otros,Hombre
12610596522,401577030,2021-04-27 19:58:27,2021-04-27 20:09:52,190.1.216.13,,,,,Sí,VALLE DEL CAUCA,IE Jose Holguín Garces,Cuéntanos una situación que haya sucedido en tu institución educativa que te haya hecho pensar cómo quieres que termine el año escolar. Pues yo alguna vez pensé que me hubiera gustado que el año escolar hubiera terminado presencialmente pero no se pudo por lo que una pandemia,Tristeza,Experiencia personal,Hace un año,Por mucho tiempo,Pasa una vez cada tanto,Todo el mundo,En 2,Educación y aprendizaje,Completamente novedoso,Control,A mi,Comprender la realidad de las cosas,Entender lo que sucede a tu alrededor,Ser el mejor,Mujer
12610313106,401577030,2021-04-27 17:51:57,2021-04-27 17:57:27,181.129.172.110,,,,,Sí,CAUCA,IE Jose Holguín Garces,"Mi institución educativa me ha hecho pensar que quiero terminar  mi año escolar de la mejor manera , con una de las mejores notas de mi grado, ya que estoy es algo que me haría feliz al igual que toda mi familia",Motivación,Experiencia personal,Hace algunos días o semanas,Por siempre,Común,Todo el mundo,En 2,La seguridad en el colegio,Pasa frecuentemente,Control,A mi,Nuevos conocimientos y habilidades,Oportunidades futuras,Ser el mejor,Hombre
12610097310,401577030,2021-04-27 16:06:41,2021-04-27 16:27:50,181.51.36.167,,,,,Sí,BOGOTÁ,IE Jose Holguín Garces,Que yo siempre e querido que yo siempre quede en 1 lugar pero lo que pasa es que no me esfuerzo suficiente y me debo esforsaeme mas. ,Motivación,Experiencia personal,Hace algunos días o semanas,Por siempre,Pasa una vez cada tanto,Nadie,Solo en este,Educación y aprendizaje,Pasa frecuentemente,Control,A mi,Otros,Oportunidades futuras,Ser el mejor,Hombre
12609927618,401577030,2021-04-27 15:16:57,2021-04-27 15:31:04,186.27.212.83,,,,,Sí,VALLE DEL CAUCA,IE Jose Holguín Garces,las clases virtuales no es lo mismo por eso quiero volver a compartir con mi profesor y companeros,Tristeza,Experiencia personal,Hace un año,Por siempre,Muy rara y única,Todo el mundo,Solo en este,Relación con los compañeros,Completamente novedoso,Control,Amigos,Nuevos conocimientos y habilidades,Entender lo que sucede a tu alrededor,Trabajar en equipo,Hombre
12609477232,401577030,2021-04-27 12:38:41,2021-04-27 12:44:48,190.90.24.131,,,,,Sí,VALLE DEL CAUCA,IE Jose Holguín Garces,El día que llovió y se entro el agua al colegio,Alegría,Una historia que escuchaste por ahí,Hace un año,Por siempre,Común,Los profesores y las directivas,En 3,La seguridad en el colegio,Pasa frecuentemente,Total control,Familia,Otros,Oportunidades futuras,Ser el mejor,Hombre
12609422785,401577030,2021-04-27 12:19:42,2021-04-27 12:26:53,181.143.228.70,,,,,Sí,VALLE DEL CAUCA,IE Jose Holguín Garces,Tuve que salir de mi tierra . ya que la situacion esta dificil llegue a un lugar muy bonito donde. Conseguí. Gent buena como tbien no tan buena donde estudió. En la escuela ulpiano lloreda me gusta estar ahi pero llego un dia donde uno de mis compañero empezaron hacer bully solo x ser. Venezolano no deberia ser asi. Ya. Que asi veng de otro pais todos somos iguales el simple hecho de venir de otro pais no nos haces menos que nadie ,Tristeza,Experiencia personal,Hace dos años,Por siempre,Pasa todo el tiempo,Todo el mundo,En 3,Bullying y matoneo,Pasa frecuentemente,Poco control,A mi,Comprender la realidad de las cosas,Relación con los demás,Ser el mejor,Hombre
12609385594,401577030,2021-04-27 11:57:09,2021-04-27 12:14:46,190.90.24.131,,,,,Sí,CAUCA,IE Jose Holguín Garces,Un perro fantasma,Impotencia,Experiencia que alguien te compartió,Hace más de dos años,Por algún tiempo,Pasa una vez cada tanto,Todo el mundo,Solo en este,Ninguna de los anteriores,Novedoso,Control,Amigos,Importancia de experimentar,Entender lo que sucede a tu alrededor,Comprender a los otros,Mujer
12609354171,401577030,2021-04-27 12:02:20,2021-04-27 12:04:51,181.143.228.70,,,,,Sí,VALLE DEL CAUCA,IE Jose Holguín Garces,Las condiciones las cuales tenía la escuela y han cambiado mucho para bien,Motivación,Experiencia personal,Hace un año,Por siempre,Pasa una vez cada tanto,Todo el mundo,En 2,Innovación y creatividad,Pasa frecuentemente,Absolutamente ningún control,A mi,Importancia de experimentar,Oportunidades futuras,Ser el mejor,Hombre
12609296571,401577030,2021-04-27 11:32:38,2021-04-27 11:46:46,181.62.54.43,,,,,Sí,VALLE DEL CAUCA,IE Jose Holguín Garces,La  primera vez que hice bandera fue uno de los momentos en los que pensé en mi futuro ya que me destacaban por ser una excelente estudiante. ,Orgullo/Satisfacción,Experiencia personal,Hace dos años,Por siempre,Pasa todo el tiempo,Todo el mundo,En 2,Relación con la familia,Pasa frecuentemente,Total control,A mi,Importancia de experimentar,Oportunidades futuras,Comprender a los otros,Mujer
12609291184,401577030,2021-04-27 11:39:28,2021-04-27 11:44:58,181.129.163.30,,,,,Sí,VALLE DEL CAUCA,IE Jose Holguín Garces,Necesito que me ayuden. Que me empreste la table y no lo an echo,Tristeza,Experiencia personal,Hace un año,Por siempre,Común,Los profesores y las directivas,En 3,Ninguna de los anteriores,Pasa frecuentemente,Absolutamente ningún control,Otros,Otros,Entender lo que sucede a tu alrededor,Comprender a los otros,Mujer
