respondent_id,collector_id,date_created,date_modified,ip_address,email_address,first_name,last_name,custom_1,"Autorizo a United Way Colombia a realizar toma de fotografías, videos o entrevistas en las que aparezco y cedo el uso de mi imagen y registros de las actividades en las cuales participé, para los fines contemplado en la Política de Privacidad para el Tratamiento de Datos Personales de dicha entidad, en la cual se incluyen, entre otras, la realización de piezas de comunicación interna y externa. Como titular de los datos podré, en cualquier momento, solicitar que la información sea modificada, actualizada o retirada de las bases de datos de United Way Colombia. Lo invitamos a conocer los detalles en: https://bit.ly/2O4diuQ",DEPARTAMENTO,NOMBRE DE LA INSTITUCIÓN EDUCATIVA,¿Con qué género te identificas?,"Cuéntanos una historia que te haya pasado en la educación virtual que para ti haya sido importante, puede ser algo agradable o desagradable, que te sucedió a ti o a otro compañero, puede ser alguna situación con un docente, o con tu familia, la conectividad o lo que piensas de esta nueva realidad, comparte tu historia aquí.",La historia que contaste te genera,La experiencia que compartiste es,¿Cuándo pasó la historia que nos contaste?,¿Con qué frecuencia pasa la situación que nos contaste?,¿Quién debe saber esta historia?,¿A quiénes involucra la historia que nos contaste?,Otro Involucrado,¿Qué enseñanza para la vida te dejó la historia que nos contaste?,Otra Enseñanza,La historia que nos contaste tiene impacto en:,Los espacios de aprendizaje virtual que estás teniendo:,Las actividades Extra-curriculares de manera virtual que te ofrece la institución son:,"¿En tu institución utilizan el arte, la cultura, la ciencia y la tecnología, como un camino para la celebración y el respeto por la diversidad?",¿Sientes que tus intereses y preguntas son tenidos en cuenta en tu institución a la hora de crear los contenidos y temas que veras en clase?,¿Sobre cuáles de los siguientes temas te gustaría aprender más en tu institución?,Otro (especifique),¿Cuál de estas características crees que es la que más resalta en los docentes de tu institución?,Disfrutas y aprendes mejor cuando:,Si fueras un profesor de tu institución ¿Qué agregarías a las clases (virtuales y presenciales)?, 
12896519028,404495119,2021-08-16 15:25:15,2021-08-16 15:33:58,181.130.95.67,,,,,No,ANTIOQUIA,IE. Ramón Múnera Lopera,Mujer,"Normalmente las clases de artística que me daban en otros colegio era solo dibujar cosas en concreto. En esta institución hay un profesor excelente que enseña historia del arte, actualmente nos enseña sobre el guernica de picaso (una obra maravillosa) la historia que tiene la obra y algunos secretos escondidos que normalmente usan los artistas en sus obras. Siento que con él realmente aprendo lo que es el arte un tema que me encanta. ",Motivación,Experiencia personal,Hace un año,Siempre,Los compañeros,Profesores,,Aprendí nuevas habilidades y conocimientos.,,Tu futuro,Son aburridos y no te gustan.,Son buenas,Más o menos,Mucho,Educación sexual,,Pensamiento critico.,91,Más debate.,
12896046780,404495119,2021-08-16 12:02:07,2021-08-16 12:10:12,181.51.32.238,,,,,Sí,ANTIOQUIA,IE. Ramón Múnera Lopera,Hombre,"Yo tengo un portátil que funciona demasiado mal, y en cada clase se dañaba el sonido por la sobrecarga de procesos, por lo que me tocaba entrar por el celular, cosa que también estaba mala, la batería no duraba nada.  Todo eso me desesperaba y me hacia atrasar. ",Rabia,Experiencia personal,Hace un año,Frecuentemente,Los profesores y las directivas,A mi,,Aprendí nuevas habilidades y conocimientos.,,Ninguna de las anteriores,Hacen que desees volver al salón de clase.,Son buenas,Mucho,Más o menos,Educación sexual,,Pensamiento critico.,35,Más debate.,
12893880118,404495119,2021-08-15 16:00:59,2021-08-15 16:12:24,170.245.158.2,,,,,Sí,ANTIOQUIA,IE. Ramón Múnera Lopera,Hombre,Bueno jue cuando la profe zasnin murio,Tristeza,Experiencia que alguien te compartió,Hace seis meses,Casi nunca,Los profesores y las directivas,Profesores,,Aprendí que soy una persona fuerte y capaz de enfrentar nuevas situaciones,,Tu relación con el colegio y la educación.,Hacen que quieras entrar a ellos.,Son buenas,Mucho,Mucho,Educación y aprendizaje,,Trabajo colaborativo.,42,Más trabajos en grupo,
12893103941,404495119,2021-08-15 04:19:11,2021-08-15 04:27:31,170.245.158.2,,,,,Sí,ANTIOQUIA,IE. Ramón Múnera Lopera,Mujer,"Fue una dificultad, cuando iniciamos virtualidad el año pasado, yo estuve fuera de la ciudad, y estuve sin conexión por 6 meses, lo que hizo que me atrasara mucho en las labores académicas, afortunadamente cuando regresé, pude ponerme al día y entregar las actividades y así pude también pasar al siguiente grado.",Esperanza,Experiencia personal,Hace un año,Casi nunca,Todo el mundo,A mi,,Aprendí que soy una persona fuerte y capaz de enfrentar nuevas situaciones,,Tu relación con el colegio y la educación.,Hacen que no quieras entrar a ellos.,No me ofrecen/ No sé,Poco,Más o menos,Educación sexual,,Trabajo colaborativo.,0,Más casos y ejemplos de la vida real.,
12892541331,404495119,2021-08-14 19:49:32,2021-08-14 20:02:13,170.245.158.2,,,,,Sí,ANTIOQUIA,IE. Ramón Múnera Lopera,Hombre,"Ha sido muy complicado por ser algo,nuevo pero uno se va adaptando y sé acomstumbra y ya sabe cómo estudiar.",Tranquilidad,Experiencia personal,Hace un año,Casi nunca,Todo el mundo,A mi,,Aprendí que soy una persona fuerte y capaz de enfrentar nuevas situaciones,,Tu futuro,Son divertidos y los disfrutas.,Me encantan,Mucho,Mucho,Riegos cibernéticos,,Innovación y creatividad.,73,Más investigación,
12892194226,404495119,2021-08-14 12:40:34,2021-08-14 12:48:27,201.233.103.221,,,,,Sí,ANTIOQUIA,IE. Ramón Múnera Lopera,Mujer,"Mi historia comenzó cuando vine a acá a Colombia sería todo nuevo la verdad, cuando ya entre a la escuela estaba algo nerviosa pero, espero que en esta nueva escuela pueda terminar el año escolar eso espero",Motivación,Experiencia personal,Hace algunos días o semanas,Casi nunca,Padres/familia,A mi,,Aprendí que soy una persona fuerte y capaz de enfrentar nuevas situaciones,,Ninguna de las anteriores,Hacen que desees volver al salón de clase.,No me ofrecen/ No sé,Más o menos,Poco,Justicia,,Buena comunicación.,100,Más juegos,
12892190336,404495119,2021-08-14 12:33:47,2021-08-14 12:44:26,201.233.101.180,,,,,Sí,ANTIOQUIA,IE. Ramón Múnera Lopera,Mujer,"Cuando me quedé encerrada en el baño,por qué la puerta se atasco y no abría abría,me asusté mucho por qué estaba solita hasta que llegaron unas compañeras y me ayudaron a salir por un hueco de abajo de la puerta. Seria bueno que organizarán esas puertas de los baños.",Miedo/angustia,Experiencia personal,Hace algunos días o semanas,Frecuentemente,Los profesores y las directivas,A mi,,Aprendí que soy una persona fuerte y capaz de enfrentar nuevas situaciones,,La forma en que te relacionas con los demás,Hacen que desees volver al salón de clase.,No me ofrecen/ No sé,Mucho,Más o menos,Innovación y creatividad,,Trabajo colaborativo.,14,Más investigación,
12892088514,404495119,2021-08-14 11:02:08,2021-08-14 11:09:24,170.245.158.2,,,,,Sí,ANTIOQUIA,IE. Ramón Múnera Lopera,Mujer,Cuando se nos prendía el micrófono sin querer y uno no se daba cuenta ,Alegría,Experiencia personal,Hace algunos días o semanas,Casi nunca,Los profesores y las directivas,Amigos,,Otro (especifique),Que hay que estar pendiente si se le prende el micrófono sin darse cuenta ,Ninguna de las anteriores,Hacen que desees volver al salón de clase.,No me gustan,Más o menos,Más o menos,Innovación y creatividad,,Buena comunicación.,85,Más trabajos en grupo,
12892034072,404495119,2021-08-14 10:16:45,2021-08-14 10:22:45,191.156.67.172,,,,,Sí,ANTIOQUIA,IE. Ramón Múnera Lopera,Mujer,Algo muy triste fue perder dos docentes los cuales eran maestros de mis dos hijas  ,Tristeza,Una opinión,Hace algunos días o semanas,Casi nunca,Nadie,Profesores,,Aprendí la importancia de la familia.,,Tus emociones o sentimientos,Hacen que no quieras entrar a ellos.,No me ofrecen/ No sé,Mucho,Poco,Educación sexual,,Trabajo colaborativo.,100,Más conversación.,
12891991674,404495119,2021-08-14 09:42:48,2021-08-14 09:47:12,170.245.158.2,,,,,Sí,ANTIOQUIA,IE. Ramón Múnera Lopera,Mujer,No tenía internet ,Impotencia,Experiencia personal,Hace algunos días o semanas,Casi nunca,Nadie,Familia,,Aprendí que soy una persona fuerte y capaz de enfrentar nuevas situaciones,,Tu relación con el colegio y la educación.,Hacen que quieras entrar a ellos.,Son buenas,Más o menos,Más o menos,Valores,,Buena comunicación.,24,Más proyectos artísticos,
12891962295,404495119,2021-08-14 09:17:27,2021-08-14 09:22:05,181.132.69.214,,,,,Sí,ANTIOQUIA,IE. Ramón Múnera Lopera,Hombre,"Mientras estuve en la virtualidad, mr sentia muy triste ya que no podia compqrtir con mis compañeros y maestros",Tristeza,Experiencia personal,Hace un año,Frecuentemente,Los compañeros,Profesores,,Aprendí que soy una persona fuerte y capaz de enfrentar nuevas situaciones,,Tu relación con el colegio y la educación.,Hacen que desees volver al salón de clase.,Son buenas,Más o menos,Más o menos,Educación y aprendizaje,,Trabajo colaborativo.,69,Más juegos,
12891930983,404495119,2021-08-14 08:44:44,2021-08-14 08:56:49,191.95.159.94,,,,,Sí,ANTIOQUIA,IE. Ramón Múnera Lopera,Mujer,Lo bueno que me a sucedido es estar la familia completa en esta cituacion que estamos viviendo,Alegría,Una opinión,Hace un año,Siempre,Todo el mundo,Familia,,Aprendí la importancia de la familia.,,Tu familia,Hacen que te intereses por nuevas maneras de aprender.,Son buenas,Mucho,Mucho,Educación y aprendizaje,,Trabajo colaborativo.,33,Más lecturas.,
12891927996,404495119,2021-08-14 08:45:59,2021-08-14 08:55:15,201.233.118.191,,,,,Sí,ANTIOQUIA,IE. Ramón Múnera Lopera,Mujer,"Al pasar los primeros días de virtualidad en casa me sentía un poco triste porque extrañaba a mis compañeros ya los profesores, pero todo es de paciencia porque tambien estaba segura del virus ",Tranquilidad,Experiencia personal,Hace un año,Casi nunca,Los compañeros,Amigos,,Aprendí que soy una persona fuerte y capaz de enfrentar nuevas situaciones,,Lo que pasa a tu alrededor,Hacen que desees volver al salón de clase.,Son buenas,Más o menos,Mucho,Riegos cibernéticos,,Innovación y creatividad.,97,Más proyectos artísticos,
12891909567,404495119,2021-08-14 08:29:50,2021-08-14 08:38:01,177.254.178.17,,,,,Sí,ANTIOQUIA,IE. Ramón Múnera Lopera,Mujer,"Mi historia es que yo en las clases de matemáticas me estresaba mucho por qué muchas veces no entendía como hacer las tareas y mi madre quien es la que me ayuda llega hasta por la noche entonces siempre nos tocaba pedirle.tiempo a la profe para poder enviárselas, a lo cual ella siempre respondía positivamente. Cuando mi mamá llegaba nos poníamos a hacer la tarea y mi madre siempre decía hay Dios esto que estás viendo yo lo ví por a ya en bachillerato y nos alegramos mucho por qué nos estaban enseñando muchas cosas terminamos la tarea y se la mandamos a la profe ",Motivación,Experiencia personal,Hace un año,Frecuentemente,Los profesores y las directivas,Profesores,,Aprendí que soy una persona fuerte y capaz de enfrentar nuevas situaciones,,Tus emociones o sentimientos,Hacen que desees volver al salón de clase.,Son buenas,Mucho,Mucho,Riegos cibernéticos,,Buena comunicación.,100,Más investigación,
12891080223,404495119,2021-08-13 20:09:28,2021-08-13 20:25:17,170.245.158.2,,,,,Sí,ANTIOQUIA,IE. Ramón Múnera Lopera,Mujer,Que una vez un profe estaba poniendo ejemplos y de repente dijo la compañera … tiene una bicicleta y se cae por las escaleras y al otro día le pasó eso a una compañera ,Alegría,Experiencia personal,Hace seis meses,Casi nunca,Nadie,Amigos,,Aprendí nuevas habilidades y conocimientos.,,Ninguna de las anteriores,Hacen que te intereses por nuevas maneras de aprender.,No me gustan,Mucho,Mucho,Educación sexual,,Trabajo colaborativo.,53,Más casos y ejemplos de la vida real.,
12891015930,404495119,2021-08-13 20:02:02,2021-08-13 20:09:12,170.245.158.2,,,,,Sí,ANTIOQUIA,IE. Ramón Múnera Lopera,Mujer,Cuando estabamos en la virtualidad mi celular se habia dañado y no tenia en que conectarme,Miedo/angustia,Experiencia personal,Hace algunos días o semanas,Casi nunca,Nadie,A mi,,Aprendí a valorar como era la vida antes de la pandemia.,,Tu relación con el colegio y la educación.,Hacen que quieras entrar a ellos.,No me ofrecen/ No sé,Mucho,Mucho,Educación sexual,,Trabajo colaborativo.,100,Más actividades fuera del aula.,
12890960096,404495119,2021-08-13 19:57:34,2021-08-13 20:02:53,181.130.80.122,,,,,No,ANTIOQUIA,IE. Ramón Múnera Lopera,Mujer,"Todo me parece muy bien para ser un año de tantas cosas y un año manejando una tecnología,exacto por la cantidad de talleres.",Esperanza,Una opinión,Hace un año,Frecuentemente,Todo el mundo,Amigos,,Aprendí que soy una persona fuerte y capaz de enfrentar nuevas situaciones,,Lo que pasa a tu alrededor,Hacen que desees volver al salón de clase.,Son buenas,Nada,Poco,Educación sexual,,Pensamiento critico.,100,Más casos y ejemplos de la vida real.,
12890608573,404495119,2021-08-13 16:13:32,2021-08-13 16:23:44,191.95.158.119,,,,,Sí,ANTIOQUIA,IE. Ramón Múnera Lopera,Mujer,A raíz de la pandemia y la Virtualidad pude aprender a valorar mi familia y mis espacios aprendi que las cosas pueden cambiar y que apesar de las consecuencias de ese cambio se puede aprender y lograr metas objetivos y propositos que tenemos para nuestra vida,Motivación,Experiencia personal,Hace un año,Casi nunca,Nadie,A mi,,Aprendí que soy una persona fuerte y capaz de enfrentar nuevas situaciones,,Tu futuro,Hacen que te intereses por nuevas maneras de aprender.,Son buenas,Mucho,Mucho,Valores,,Buena comunicación.,100,Más trabajos en grupo,
12890271396,404495119,2021-08-13 13:24:03,2021-08-13 13:34:25,190.240.134.3,,,,,Sí,ANTIOQUIA,IE. Ramón Múnera Lopera,Mujer,Que ay veces se me iba el internet y  no podia entrar a clases virtuales por eso me atrasaba por que cuando me daba no entendia lo que estaban haciendo y por eso me ponian una nota mala,Tristeza,Experiencia personal,Hace algunos días o semanas,Casi nunca,Los profesores y las directivas,A mi,,Aprendí que soy una persona fuerte y capaz de enfrentar nuevas situaciones,,Tu relación con el colegio y la educación.,Hacen que desees volver al salón de clase.,Son buenas,Mucho,Poco,Educación y aprendizaje,,Buena comunicación.,100,Más lecturas.,
12890164944,404495119,2021-08-13 12:38:20,2021-08-13 12:43:02,191.95.49.30,,,,,Sí,ANTIOQUIA,IE. Ramón Múnera Lopera,Mujer,Pues malbpor que el año pasado no tube la forma de conetarme ala clase y perdi el año,Tristeza,Experiencia personal,Hace un año,Casi nunca,Nadie,Familia,,Aprendí a respetar otros puntos de vista.,,Tu familia,Hacen que desees volver al salón de clase.,Son buenas,Mucho,Mucho,Relación con los compañeros,,Trabajo colaborativo.,100,Más actividades fuera del aula.,
12890131948,404495119,2021-08-13 12:15:36,2021-08-13 12:27:37,186.31.155.150,,,,,Sí,ANTIOQUIA,IE. Ramón Múnera Lopera,Mujer,"Estábamos en la virtualidad y fue un momento en el que para muchos se complicó el proceso de aprendizaje, pero algo que me gustó mucho fue cuando los profesores nos motivan a no dejar de estudiar y darnos soluciones para asi ganar el año, aparté de eso el acompañamiento en cuanto a nuestro bienestar tanto físico como mental. Nos apoyaron mas que todo mi directora de grupo que es una de las mejores profesoras que tiene la institución.",Motivación,Experiencia personal,Hace un año,Frecuentemente,Todo el mundo,Profesores,,Aprendí que soy una persona fuerte y capaz de enfrentar nuevas situaciones,,Tu futuro,Hacen que desees volver al salón de clase.,No me gustan,Más o menos,Más o menos,Educación sexual,,Innovación y creatividad.,0,Más casos y ejemplos de la vida real.,
